head,method,mean_auc,std_auc,min_auc,max_auc,pooled_auc,fold_aucs,mean_f1,std_f1,pooled_f1,fold_f1s,mean_acc,std_acc,pooled_acc,fold_accs,fold_thrs
Stenosis,SingleTask(picture-description),0.8098329898809705,0.03433329618036008,0.7702499247214695,0.858974358974359,0.809434099859011,0.805;0.770;0.777;0.838;0.859,0.5360631276994222,0.06068726947425777,0.5345911949685535,0.535;0.585;0.462;0.478;0.621,0.8022550335570472,0.04781263071104762,0.8021390374331551,0.780;0.820;0.720;0.839;0.852,0.3830;0.4673;0.2989;0.7136;0.5225
Stridor,SingleTask(diadochokinesis-buttercup),0.7854545454545454,0.10497540050289783,0.6363636363636364,0.9318181818181818,0.7795414462081129,0.818;0.932;0.636;0.841;0.700,0.5405372405372406,0.06064284211895848,0.5454545454545454,0.571;0.615;0.500;0.444;0.571,0.6666666666666667,0.07302967433402217,0.6666666666666666,0.800;0.667;0.600;0.667;0.600,0.7289;0.0994;0.1873;0.1450;0.3492
Stenosis,mean-pool+LogReg,0.8859716891970656,0.01713563067726151,0.8596808190304126,0.9110503946569519,0.8831980164324955,0.895;0.860;0.886;0.911;0.878,0.5792974189267179,0.04501321079105011,0.584,0.512;0.607;0.642;0.586;0.550,0.860957494407159,0.014353941759672062,0.8609625668449198,0.860;0.853;0.873;0.839;0.879,0.8258;0.5693;0.7890;0.5199;0.6601
Stenosis,mean-pool+RF,0.7967284880919426,0.015251244489546645,0.7723577235772358,0.8136103583258054,0.7957119937770432,0.801;0.814;0.772;0.810;0.787,0.4891943582733056,0.08950187071944701,0.4939759036144578,0.538;0.536;0.316;0.562;0.494,0.7754004474272931,0.03699676048079345,0.7754010695187166,0.760;0.827;0.740;0.812;0.738,0.3902;0.4653;0.4844;0.4163;0.3539
Stenosis,max-pool+LogReg,0.8339658628476434,0.03978548040018753,0.788015657934357,0.9039445950015055,0.832903884486363,0.904;0.788;0.805;0.831;0.842,0.5503598165806967,0.07033213854172816,0.5411764705882353,0.667;0.494;0.528;0.590;0.474,0.7914183445190157,0.056686777189449214,0.7914438502673797,0.880;0.740;0.773;0.832;0.732,0.4484;0.1416;0.2439;0.3015;0.0903
Stenosis,max-pool+RF,0.8259070161109345,0.03013691575787157,0.7798855766335441,0.8573163327261688,0.8264013807185571,0.836;0.802;0.780;0.857;0.854,0.5225528002954531,0.04503142972033427,0.5228758169934641,0.489;0.548;0.451;0.561;0.563,0.8048322147651007,0.0372597828536947,0.8048128342245989,0.847;0.813;0.740;0.832;0.792,0.4533;0.4148;0.3999;0.4133;0.3632
Stridor,mean-pool+LogReg,0.6798181818181819,0.14570818794102772,0.45454545454545453,0.8409090909090909,0.6763668430335098,0.455;0.841;0.795;0.568;0.740,0.39008547008547007,0.21537756059535643,0.4444444444444444,0.000;0.600;0.462;0.333;0.556,0.6,0.11155467020454338,0.6,0.533;0.733;0.533;0.733;0.467,0.7406;0.5709;0.3997;0.3352;0.0669
Stridor,mean-pool+RF,0.788,0.1507254084762439,0.5454545454545454,0.94,0.7566137566137566,0.545;0.864;0.909;0.682;0.940,0.5031746031746032,0.15038373691843823,0.5172413793103449,0.222;0.667;0.571;0.500;0.556,0.6266666666666667,0.12364824660660939,0.6266666666666667,0.533;0.800;0.600;0.733;0.467,0.3533;0.2735;0.2741;0.2532;0.1397
Stridor,max-pool+LogReg,0.7867272727272727,0.145677783237272,0.5681818181818182,0.9772727272727273,0.7522045855379189,0.568;0.886;0.977;0.682;0.820,0.45500674763832655,0.27263966851155413,0.5185185185185185,0.000;0.800;0.615;0.333;0.526,0.6533333333333333,0.15434449203720302,0.6533333333333333,0.600;0.867;0.667;0.733;0.400,0.6556;0.2058;0.1969;0.4155;0.0424
Stridor,max-pool+RF,0.7770909090909089,0.1358236581590353,0.5681818181818181,0.9545454545454545,0.7425044091710759,0.568;0.841;0.955;0.682;0.840,0.4764102564102564,0.24425765381337966,0.5172413793103449,0.000;0.667;0.615;0.600;0.500,0.6266666666666667,0.16110727964792765,0.6266666666666667,0.600;0.800;0.667;0.733;0.333,0.4264;0.3160;0.3063;0.2061;0.1698
