head,method,mean_auc,std_auc,min_auc,max_auc,pooled_auc,fold_aucs,mean_f1,std_f1,pooled_f1,fold_f1s,mean_acc,std_acc,pooled_acc,fold_accs,fold_thrs
Stenosis,SingleTask(picture-description),0.6764630520061681,0.019133631726854786,0.6501053899427883,0.6982836495031617,0.6735013855802421,0.686;0.698;0.650;0.657;0.690,0.3674906219666193,0.01908488421921294,0.3684210526315789,0.369;0.395;0.341;0.353;0.379,0.6469619686800895,0.07544580841144555,0.6470588235294118,0.727;0.673;0.613;0.705;0.517,0.4296;0.3751;0.2194;0.4672;0.1254
Stridor,SingleTask(diadochokinesis-buttercup),0.8487272727272728,0.029399499630306615,0.7954545454545454,0.8800000000000001,0.8483245149911817,0.864;0.841;0.864;0.795;0.880,0.5669047619047619,0.09080266910478615,0.5833333333333334,0.400;0.667;0.571;0.571;0.625,0.7333333333333333,0.11155467020454343,0.7333333333333333,0.800;0.867;0.600;0.800;0.600,0.7441;0.8679;0.0932;0.5953;0.1123
Stenosis,mean-pool+LogReg,0.806452765522471,0.04190575958887836,0.7699488105992172,0.8873833182776272,0.8029559045165053,0.770;0.887;0.798;0.779;0.798,0.47854244306418225,0.08327448262092244,0.5,0.435;0.587;0.522;0.507;0.343,0.7994630872483222,0.03338243009788943,0.7994652406417112,0.827;0.793;0.780;0.752;0.846,0.7200;0.4576;0.4563;0.3697;0.7961
Stenosis,mean-pool+RF,0.7251074498975338,0.07317960732024702,0.634447455585667,0.8410117434507678,0.7246584666245321,0.634;0.841;0.774;0.686;0.690,0.42809780704181194,0.0861445337800279,0.4236760124610592,0.325;0.545;0.484;0.453;0.333,0.7527158836689037,0.062151335327579764,0.7526737967914439,0.640;0.800;0.787;0.805;0.732,0.3771;0.4219;0.4512;0.4744;0.3933
Stenosis,max-pool+LogReg,0.7650759259449117,0.042099080107081306,0.692261367058115,0.8108682452944747,0.7614978851669988,0.749;0.799;0.692;0.811;0.774,0.42915468689726116,0.015257230646636753,0.43116883116883115,0.442;0.440;0.400;0.436;0.429,0.7072751677852349,0.08124771392120296,0.7072192513368984,0.713;0.627;0.740;0.617;0.839,0.2181;0.0770;0.4318;0.1503;0.4964
Stenosis,max-pool+RF,0.709454717638111,0.037875028179659376,0.6663655525444143,0.7699488105992172,0.7082016626962905,0.700;0.770;0.666;0.678;0.733,0.43150240257216554,0.027227005350973933,0.43157894736842106,0.409;0.482;0.410;0.438;0.419,0.7113557046979866,0.0429895761667214,0.7112299465240641,0.653;0.713;0.673;0.758;0.758,0.3384;0.3698;0.3772;0.4199;0.3729
Stridor,mean-pool+LogReg,0.7387272727272728,0.12353284436279945,0.5800000000000001,0.9318181818181818,0.7451499118165784,0.818;0.705;0.932;0.659;0.580,0.4255555555555556,0.12300757780531597,0.44,0.333;0.600;0.444;0.500;0.250,0.6266666666666667,0.155492050529208,0.6266666666666667,0.733;0.733;0.333;0.733;0.600,0.5352;0.3022;0.0720;0.3670;0.8694
Stridor,mean-pool+RF,0.7452727272727271,0.07362042476207786,0.6136363636363635,0.8400000000000001,0.7433862433862434,0.750;0.750;0.773;0.614;0.840,0.4972222222222221,0.16536528962374683,0.5333333333333333,0.333;0.750;0.333;0.444;0.625,0.72,0.08844332774281068,0.72,0.733;0.867;0.733;0.667;0.600,0.4648;0.4248;0.5463;0.3802;0.1960
Stridor,max-pool+LogReg,0.7503636363636363,0.1830879299206931,0.40909090909090906,0.9545454545454545,0.7451499118165785,0.409;0.955;0.818;0.750;0.820,0.4333333333333333,0.2758824226207808,0.46808510638297873,0.000;0.750;0.667;0.250;0.500,0.6666666666666667,0.14605934866804432,0.6666666666666666,0.600;0.867;0.800;0.600;0.467,0.6143;0.3917;0.6822;0.3731;0.0758
Stridor,max-pool+RF,0.7038181818181818,0.10936541221259011,0.5227272727272727,0.86,0.7063492063492064,0.523;0.705;0.750;0.682;0.860,0.48317460317460315,0.14738366623993998,0.5106382978723404,0.286;0.571;0.400;0.444;0.714,0.6933333333333334,0.0679869268479038,0.6933333333333334,0.667;0.800;0.600;0.667;0.733,0.3126;0.4149;0.3956;0.3383;0.2325
Stenosis,mi-SVM,0.7750125400931746,0.03136853936137731,0.7132582864290181,0.7988557663354411,0.7744664300646604,0.791;0.781;0.799;0.791;0.713,0.47856225806404656,0.03396154656726633,0.4712328767123288,0.542;0.466;0.481;0.442;0.462,0.7418791946308725,0.0887375636876786,0.7419786096256684,0.853;0.633;0.813;0.644;0.765,2.5803;1.3879;2.3156;1.1940;2.0879
Stridor,mi-SVM,0.7138181818181819,0.09802242954658322,0.5909090909090908,0.8409090909090908,0.7248677248677249,0.818;0.841;0.659;0.591;0.660,0.4941520467836257,0.10877821776455131,0.5098039215686274,0.667;0.500;0.333;0.444;0.526,0.6666666666666666,0.1398411797560202,0.6666666666666666,0.800;0.733;0.733;0.667;0.400,3.1914;2.5096;4.1650;2.5893;1.0653
Stenosis,GatedAttention,0.7009228217544891,0.017466643361204924,0.6715239829993928,0.7210756722951845,0.6879405902085662,0.692;0.708;0.712;0.672;0.721,0.4100816130087675,0.023534225610154107,0.41359773371104813,0.393;0.423;0.442;0.375;0.418,0.7232930648769574,0.04166280546047868,0.7232620320855615,0.773;0.727;0.647;0.732;0.738,0.7964;0.6133;0.4960;0.6124;0.4694
Stridor,GatedAttention,0.7321818181818182,0.17171146276903293,0.4090909090909091,0.8636363636363636,0.6746031746031745,0.409;0.705;0.864;0.864;0.820,0.5137301587301587,0.18408962401488588,0.5333333333333333,0.222;0.750;0.571;0.400;0.625,0.72,0.12927146286443547,0.72,0.533;0.867;0.800;0.800;0.600,0.3878;0.7559;0.7249;0.5208;0.4028
Stenosis,DSMIL,0.7837429130911738,0.043859572959246966,0.7298117789921068,0.8440228846732911,0.7794618114638534,0.747;0.844;0.774;0.730;0.824,0.467491020432197,0.03405233258016853,0.46846846846846846,0.407;0.500;0.471;0.459;0.500,0.7633914988814319,0.0411991712293225,0.7633689839572193,0.787;0.787;0.700;0.732;0.812,0.5374;0.5487;0.4354;0.5288;0.5987
Stridor,DSMIL,0.7089090909090909,0.14949546000458833,0.4318181818181818,0.8409090909090909,0.6525573192239859,0.432;0.705;0.727;0.841;0.840,0.5745670995670995,0.15879924378783872,0.5833333333333334,0.286;0.750;0.545;0.667;0.625,0.7333333333333333,0.11155467020454343,0.7333333333333333,0.667;0.867;0.667;0.867;0.600,0.5751;0.6865;0.4841;0.5357;0.5061
