head,method,mean_auc,std_auc,min_auc,max_auc,pooled_auc,fold_aucs,mean_f1,std_f1,pooled_f1,fold_f1s,mean_acc,std_acc,pooled_acc,fold_accs,fold_thrs
Stenosis,SingleTask(picture-description),0.8144763367207724,0.04607410959816829,0.7362240289069557,0.8736710444027517,0.8110627643541252,0.845;0.806;0.736;0.812;0.874,0.5146233272363598,0.05439654368936351,0.5077399380804953,0.561;0.478;0.425;0.557;0.552,0.7875257270693512,0.05258425804844786,0.7874331550802139,0.833;0.767;0.693;0.819;0.826,0.6474;0.5352;0.4804;0.5239;0.5686
Stridor,SingleTask(diadochokinesis-buttercup),0.711090909090909,0.14029885457494415,0.5227272727272727,0.8636363636363636,0.7239858906525574,0.568;0.864;0.523;0.841;0.760,0.4988095238095238,0.17424928060506653,0.5283018867924528,0.286;0.333;0.500;0.750;0.625,0.6666666666666667,0.13333333333333333,0.6666666666666666,0.667;0.733;0.467;0.867;0.600,0.6707;0.6298;0.1933;0.4498;0.1180
Stenosis,mean-pool+LogReg,0.7679291056606796,0.0321953245228429,0.7137219186399514,0.798311444652908,0.7641110408867713,0.751;0.798;0.779;0.714;0.798,0.4180277590537881,0.021764726759027846,0.4172661870503597,0.407;0.406;0.462;0.407;0.408,0.7834541387024607,0.024541154948643566,0.7834224598930482,0.767;0.747;0.813;0.785;0.805,0.5414;0.6454;0.7074;0.6819;0.6792
Stenosis,mean-pool+RF,0.7552578208982315,0.029151288587002812,0.7143290831815422,0.7964468533574224,0.7556881715202489,0.796;0.777;0.735;0.714;0.754,0.4178002699055331,0.024993716895092173,0.4180064308681672,0.458;0.400;0.421;0.425;0.385,0.7579686800894854,0.05104539213891865,0.7580213903743316,0.827;0.780;0.707;0.691;0.785,0.5395;0.5249;0.4902;0.4283;0.4934
Stenosis,max-pool+LogReg,0.709630259956796,0.022629769746233947,0.6775956284153005,0.7407754846779238,0.7095629345131023,0.696;0.728;0.706;0.678;0.741,0.40681542083453176,0.03127938958408765,0.40668523676880225,0.410;0.379;0.462;0.373;0.410,0.7151409395973155,0.04003441407547262,0.7152406417112299,0.693;0.760;0.767;0.685;0.671,0.4271;0.7216;0.5608;0.4620;0.3333
Stenosis,max-pool+RF,0.7219828118135462,0.04963234253474114,0.6626016260162602,0.7720566094549836,0.7155306529243035,0.771;0.772;0.663;0.742;0.663,0.3526971253970852,0.09905491465550151,0.3726235741444867,0.200;0.464;0.407;0.418;0.275,0.7793199105145414,0.03666129141240202,0.7794117647058824,0.840;0.800;0.767;0.738;0.752,0.5144;0.4523;0.4871;0.4414;0.4414
Stridor,mean-pool+LogReg,0.6934545454545454,0.04458588146988104,0.6136363636363636,0.7400000000000001,0.6825396825396826,0.614;0.727;0.682;0.705;0.740,0.524443977075556,0.0857692112682019,0.5245901639344263,0.364;0.571;0.615;0.545;0.526,0.6133333333333333,0.13597385369580758,0.6133333333333333,0.533;0.800;0.667;0.667;0.400,0.2380;0.5017;0.3253;0.3688;0.0868
Stridor,mean-pool+RF,0.7145454545454545,0.10497540050289786,0.5454545454545454,0.8409090909090909,0.6843033509700176,0.545;0.841;0.727;0.659;0.800,0.503015873015873,0.17878428231227386,0.5116279069767442,0.222;0.750;0.571;0.400;0.571,0.72,0.12927146286443547,0.72,0.533;0.867;0.600;0.800;0.800,0.3438;0.3127;0.2445;0.4610;0.4511
Stridor,max-pool+LogReg,0.7981818181818182,0.10117491604327443,0.6818181818181819,0.9318181818181818,0.7857142857142857,0.682;0.932;0.773;0.705;0.900,0.5991452991452991,0.11620160273064849,0.6101694915254238,0.615;0.667;0.500;0.444;0.769,0.6933333333333334,0.06798692684790382,0.6933333333333334,0.667;0.733;0.600;0.667;0.800,0.2446;0.1870;0.2607;0.3895;0.1845
Stridor,max-pool+RF,0.6670909090909091,0.13780978626383047,0.5,0.8863636363636364,0.6869488536155203,0.500;0.886;0.705;0.705;0.540,0.49752867016024915,0.06467852764500956,0.5,0.400;0.571;0.545;0.444;0.526,0.6266666666666666,0.13063945294843618,0.6266666666666667,0.600;0.800;0.667;0.667;0.400,0.2429;0.3132;0.3055;0.2939;0.1953
Stenosis,mi-SVM,0.7357880779312207,0.03367144623270789,0.7024992472146945,0.8006624510689552,0.738161796878798,0.702;0.728;0.801;0.722;0.726,0.4101102795958889,0.08390814577880158,0.41721854304635764,0.267;0.390;0.522;0.423;0.450,0.7647695749440716,0.05626569688857744,0.7647058823529411,0.780;0.687;0.780;0.725;0.852,1.7021;1.1917;1.3077;0.8471;1.8790
Stridor,mi-SVM,0.6347272727272728,0.10177336676075023,0.5,0.7954545454545454,0.6534391534391535,0.682;0.636;0.795;0.500;0.560,0.33714285714285713,0.1861752520873704,0.3684210526315789,0.400;0.286;0.500;0.500;0.000,0.6799999999999999,0.04988876515698587,0.68,0.600;0.667;0.733;0.733;0.667,1.8202;2.2139;2.8883;2.0225;3.9754
Stenosis,GatedAttention,0.7623074227099284,0.028726857169911947,0.7244805781391147,0.8018669075579644,0.7436555009966455,0.802;0.737;0.724;0.764;0.785,0.4149150544345052,0.02941915779670798,0.41904761904761906,0.409;0.377;0.450;0.391;0.447,0.7553736017897092,0.052584975292790145,0.7553475935828877,0.827;0.713;0.707;0.812;0.718,0.7871;0.6209;0.6119;0.6212;0.3450
Stridor,GatedAttention,0.6725454545454544,0.18255794959047306,0.3181818181818181,0.8400000000000001,0.5687830687830687,0.750;0.318;0.750;0.705;0.840,0.38337662337662337,0.3253192575436063,0.45,0.000;0.000;0.545;0.571;0.800,0.7066666666666668,0.11623730516108464,0.7066666666666667,0.667;0.533;0.667;0.800;0.867,0.6251;0.2469;0.1445;0.1016;0.0231
Stenosis,DSMIL,0.7924649703271587,0.029932787118534202,0.7477231329690346,0.8267667292057536,0.7836185521901892,0.821;0.795;0.771;0.748;0.827,0.48377448506447884,0.07264671197140335,0.48823529411764705,0.620;0.455;0.415;0.436;0.493,0.7673914988814318,0.04884212242564302,0.767379679144385,0.820;0.680;0.793;0.792;0.752,0.5741;0.3993;0.6846;0.6282;0.3542
