head,method,mean_auc,std_auc,min_auc,max_auc,pooled_auc,fold_aucs,mean_f1,std_f1,pooled_f1,fold_f1s,mean_acc,std_acc,pooled_acc,fold_accs,fold_thrs
Stenosis,SingleTask(picture-description),0.9291868058094901,0.028720979234973795,0.8931044866004215,0.9706066291432145,0.9255311390928095,0.917;0.911;0.893;0.954;0.971,0.7085823209049016,0.046545452976858095,0.708029197080292,0.742;0.679;0.640;0.710;0.773,0.893082774049217,0.02058907754512139,0.893048128342246,0.893;0.880;0.880;0.879;0.933,0.6520;0.4039;0.7480;0.3714;0.6238
Stridor,SingleTask(diadochokinesis-buttercup),0.7754545454545454,0.1270647651611356,0.6136363636363636,0.9090909090909091,0.7742504409171076,0.614;0.909;0.818;0.636;0.900,0.5340573152337859,0.11231861000617287,0.5490196078431373,0.400;0.667;0.615;0.400;0.588,0.6933333333333334,0.1236482466066094,0.6933333333333334,0.600;0.867;0.667;0.800;0.533,0.2887;0.5227;0.1880;0.4480;0.0601
Stenosis,mean-pool+LogReg,0.9334843840241682,0.02975056442397218,0.8792532369768142,0.9634146341463414,0.9318148670329136,0.954;0.945;0.879;0.926;0.963,0.718538685538108,0.05044263398722045,0.7162162162162162,0.815;0.710;0.667;0.706;0.696,0.8876778523489932,0.026606565607259613,0.8877005347593583,0.933;0.880;0.867;0.899;0.859,0.4784;0.2225;0.4368;0.6329;0.1511
Stenosis,mean-pool+RF,0.8575402887278137,0.031572795751308946,0.7982535380909365,0.8931044866004216,0.8554864115902572,0.893;0.867;0.798;0.867;0.862,0.5575179582720768,0.057268850868449954,0.5555555555555556,0.564;0.580;0.452;0.567;0.625,0.807579418344519,0.03867827773771942,0.8074866310160428,0.773;0.807;0.773;0.805;0.879,0.3356;0.3820;0.4436;0.3953;0.4698
Stenosis,max-pool+LogReg,0.8753312729988727,0.027767548065784135,0.8373983739837398,0.908692933083177,0.8768049005785405,0.905;0.870;0.837;0.856;0.909,0.5697918101480572,0.0859184878854707,0.5743243243243243,0.576;0.579;0.408;0.644;0.642,0.8316420581655481,0.03184079983118931,0.8315508021390374,0.833;0.787;0.807;0.859;0.872,0.2729;0.1346;0.6343;0.3379;0.3746
Stenosis,max-pool+RF,0.8293584370620224,0.016306283849142098,0.8090936464920204,0.857098186366479,0.8290145364383296,0.832;0.809;0.831;0.818;0.857,0.5188644124237344,0.008599926701564531,0.51875,0.514;0.523;0.533;0.515;0.508,0.7941208053691275,0.01419397346704079,0.7941176470588235,0.773;0.793;0.813;0.785;0.805,0.3632;0.3846;0.4061;0.3928;0.3721
Stridor,mean-pool+LogReg,0.7474545454545455,0.08450810514211492,0.6136363636363635,0.8636363636363636,0.7513227513227513,0.614;0.864;0.795;0.705;0.760,0.4595488721804511,0.23134955927452397,0.5,0.000;0.571;0.600;0.600;0.526,0.6533333333333333,0.14236104336041747,0.6533333333333333,0.600;0.800;0.733;0.733;0.400,0.7232;0.6976;0.2791;0.1864;0.0180
Stridor,mean-pool+RF,0.7969090909090909,0.08590904280902938,0.6590909090909091,0.9090909090909092,0.783068783068783,0.773;0.909;0.864;0.659;0.780,0.5342857142857143,0.07645193234434085,0.53125,0.600;0.600;0.571;0.400;0.500,0.6,0.1460593486680443,0.6,0.733;0.733;0.600;0.600;0.333,0.3498;0.3860;0.3025;0.2797;0.1033
Stridor,max-pool+LogReg,0.752,0.07198117292874819,0.659090909090909,0.8409090909090908,0.7398589065255732,0.682;0.841;0.818;0.659;0.760,0.42857142857142855,0.24093544077473367,0.4444444444444444,0.000;0.571;0.667;0.571;0.333,0.7333333333333334,0.10327955589886448,0.7333333333333333,0.533;0.800;0.800;0.800;0.733,0.5014;0.8016;0.5496;0.3581;0.6468
Stridor,max-pool+RF,0.7832727272727272,0.07939981472593242,0.6363636363636364,0.8636363636363636,0.7804232804232805,0.795;0.864;0.841;0.636;0.780,0.5063492063492063,0.09040654518030566,0.5217391304347826,0.333;0.500;0.571;0.571;0.556,0.7066666666666667,0.12364824660660939,0.7066666666666667,0.733;0.733;0.800;0.800;0.467,0.3962;0.3761;0.3693;0.2797;0.1733
Stenosis,mi-SVM,0.9062289993784063,0.028984757783337995,0.8654019873532068,0.9379704908160192,0.9059750109387914,0.935;0.938;0.865;0.881;0.912,0.6328478240679154,0.09054749403722363,0.6406926406926406,0.711;0.755;0.513;0.558;0.627,0.888993288590604,0.019875987457430265,0.8890374331550802,0.913;0.913;0.873;0.872;0.872,4.5113;3.8631;5.1541;4.4794;3.9761
Stridor,mi-SVM,0.764,0.03746778230351779,0.7272727272727272,0.82,0.7530864197530864,0.750;0.795;0.727;0.727;0.820,0.5373626373626373,0.11575091575091576,0.5660377358490566,0.333;0.571;0.615;0.500;0.667,0.6933333333333334,0.053333333333333316,0.6933333333333334,0.733;0.600;0.667;0.733;0.733,2.2839;0.8022;1.7543;1.8779;1.7085
Stenosis,GatedAttention,0.9426215458735785,0.03241953499795774,0.8882866606443843,0.985616010006254,0.9352180465749429,0.938;0.938;0.888;0.963;0.986,0.7276065522983387,0.06218032998183047,0.726643598615917,0.653;0.700;0.710;0.735;0.840,0.8944340044742729,0.026077720862581984,0.8943850267379679,0.887;0.880;0.880;0.879;0.946,0.6512;0.4551;0.6661;0.1592;0.7577
Stridor,GatedAttention,0.7629090909090909,0.09305006206116567,0.5909090909090908,0.86,0.652557319223986,0.795;0.818;0.750;0.591;0.860,0.5695082695082695,0.12488392366727268,0.5818181818181818,0.500;0.727;0.462;0.444;0.714,0.6933333333333332,0.09043106644167025,0.6933333333333334,0.733;0.800;0.533;0.667;0.733,0.7142;0.3634;0.5509;0.2243;0.6689
