head,method,mean_auc,std_auc,min_auc,max_auc,pooled_auc,fold_aucs,mean_f1,std_f1,pooled_f1,fold_f1s,mean_acc,std_acc,pooled_acc,fold_accs,fold_thrs
Stenosis,SingleTask(picture-description),0.7113777091252768,0.03763564244038001,0.6594746716697937,0.7560975609756098,0.7097938645534542,0.703;0.756;0.686;0.752;0.659,0.4074269378420322,0.04054565357182918,0.3977272727272727,0.415;0.480;0.358;0.390;0.394,0.7165548098434005,0.09811180948508809,0.7165775401069518,0.793;0.827;0.547;0.685;0.732,0.6704;0.7196;0.2686;0.3715;0.5632
Stridor,SingleTask(diadochokinesis-buttercup),0.7918181818181819,0.06005507114514088,0.6818181818181818,0.8636363636363635,0.7804232804232806,0.682;0.818;0.795;0.864;0.800,0.5837362637362637,0.1630094413924144,0.5490196078431373,0.400;0.857;0.462;0.667;0.533,0.6933333333333332,0.1717879830230017,0.6933333333333334,0.600;0.933;0.533;0.867;0.533,0.2738;0.8163;0.1229;0.6181;0.0637
Stenosis,mean-pool+LogReg,0.7512975816321145,0.05418828430260768,0.6552243300210779,0.7987249544626593,0.7509358743740581,0.655;0.798;0.775;0.799;0.730,0.444267410229833,0.0815940083606317,0.4444444444444444,0.300;0.494;0.407;0.508;0.512,0.7795525727069351,0.05173398851158478,0.7794117647058824,0.720;0.727;0.787;0.805;0.859,0.5236;0.5863;0.7292;0.5675;0.6725
Stenosis,mean-pool+RF,0.6474420298357391,0.079612736296857,0.531466425775369,0.769948810599217,0.645935631289805,0.531;0.770;0.691;0.628;0.616,0.3452442394321406,0.05488716043028239,0.3448275862068966,0.278;0.433;0.377;0.305;0.333,0.5937270693512304,0.10891671562551923,0.5935828877005348,0.480;0.633;0.560;0.510;0.785,0.3129;0.3609;0.3679;0.3221;0.4701
Stenosis,max-pool+LogReg,0.7229930819694914,0.02908791282468819,0.6937669376693767,0.773224043715847,0.7206840390879479,0.694;0.729;0.724;0.773;0.694,0.3704433497536946,0.03923827334940993,0.37267080745341613,0.391;0.314;0.414;0.333;0.400,0.7300671140939599,0.06021222437284269,0.7299465240641712,0.647;0.680;0.773;0.812;0.738,0.2265;0.3804;0.4826;0.8026;0.2163
Stenosis,max-pool+RF,0.6864623950989405,0.05287491469855153,0.61547726588377,0.7765733212887684,0.6846954154309883,0.615;0.777;0.659;0.690;0.692,0.36291042287075637,0.044658779231620864,0.3616557734204793,0.301;0.438;0.348;0.352;0.375,0.6080715883668905,0.08939104907914984,0.6082887700534759,0.660;0.727;0.600;0.456;0.597,0.3863;0.4136;0.3582;0.2965;0.3248
Stridor,mean-pool+LogReg,0.6530909090909092,0.1366791501387268,0.38636363636363635,0.7727272727272727,0.7001763668430335,0.386;0.773;0.682;0.705;0.720,0.4233766233766234,0.2134537173688792,0.4482758620689655,0.000;0.545;0.500;0.571;0.500,0.5733333333333334,0.16110727964792765,0.5733333333333334,0.467;0.667;0.600;0.800;0.333,0.3725;0.2348;0.5527;0.5115;0.0566
Stridor,mean-pool+RF,0.7669090909090908,0.08378366475237783,0.6590909090909091,0.8799999999999999,0.7469135802469137,0.682;0.795;0.818;0.659;0.880,0.4668534080298786,0.10907358250401172,0.4897959183673469,0.444;0.571;0.444;0.286;0.588,0.6666666666666666,0.0843274042711568,0.6666666666666666,0.667;0.800;0.667;0.667;0.533,0.3084;0.5920;0.4341;0.3753;0.1985
Stridor,max-pool+LogReg,0.5654545454545454,0.16448266004216208,0.2727272727272727,0.7727272727272727,0.5634920634920636,0.273;0.636;0.773;0.545;0.600,0.41999999999999993,0.108956894863389,0.43478260869565216,0.222;0.500;0.533;0.400;0.444,0.6533333333333332,0.10666666666666667,0.6533333333333333,0.533;0.733;0.533;0.800;0.667,0.5395;0.7217;0.2404;0.5188;0.5463
Stridor,max-pool+RF,0.6923636363636364,0.12759128963249272,0.45454545454545453,0.8181818181818181,0.6613756613756614,0.455;0.727;0.818;0.682;0.780,0.38945119208277107,0.1551381366321094,0.43636363636363634,0.222;0.333;0.615;0.250;0.526,0.5866666666666667,0.114697670227235,0.5866666666666667,0.533;0.733;0.667;0.600;0.400,0.2760;0.4027;0.3393;0.3280;0.1362
Stenosis,mi-SVM,0.7308321495713205,0.061444134138107426,0.6208973200843119,0.7976860537836148,0.7330934902037046,0.621;0.775;0.744;0.717;0.798,0.43702763788771487,0.06696389434405084,0.44041450777202074,0.338;0.484;0.444;0.390;0.528,0.7112483221476511,0.039470519320248566,0.7112299465240641,0.713;0.673;0.733;0.664;0.772,1.1663;1.0761;1.3029;0.9707;1.2702
Stridor,mi-SVM,0.7089090909090908,0.13874335662749573,0.5681818181818181,0.9090909090909091,0.689594356261023,0.568;0.591;0.909;0.636;0.840,0.4102197802197802,0.1352253951707826,0.4482758620689655,0.400;0.286;0.615;0.250;0.500,0.5733333333333334,0.12364824660660936,0.5733333333333334,0.600;0.667;0.667;0.600;0.333,1.6339;2.0133;1.5195;3.1617;-0.2938
Stenosis,GatedAttention,0.589388783897647,0.088715518455239,0.4327009936766034,0.6964769647696477,0.5153629247897321,0.433;0.622;0.696;0.565;0.630,0.32085654670236224,0.061482173988849045,0.31715210355987056,0.226;0.356;0.411;0.306;0.304,0.43549888143176735,0.13704521556226845,0.4358288770053476,0.407;0.567;0.580;0.423;0.201,0.5134;0.4767;0.4991;0.5191;0.5313
Stridor,GatedAttention,0.7287272727272727,0.08823447350128855,0.5909090909090908,0.8181818181818181,0.5723104056437389,0.591;0.659;0.818;0.795;0.780,0.3833333333333333,0.23333333333333334,0.4444444444444444,0.000;0.500;0.500;0.250;0.667,0.6666666666666666,0.059628479399994376,0.6666666666666666,0.600;0.733;0.733;0.600;0.667,0.4149;0.5115;0.4382;0.4773;0.5342
Stenosis,DSMIL,0.5635067530442714,0.10060730349173545,0.40048178259560374,0.6955736224028907,0.5268851183820312,0.400;0.565;0.696;0.522;0.634,0.30230718556805514,0.04257278453287167,0.30063291139240506,0.246;0.309;0.375;0.278;0.303,0.4088948545861298,0.10981993817141346,0.4090909090909091,0.347;0.493;0.533;0.443;0.228,0.5202;0.5216;0.5235;0.5130;0.5050
Stridor,DSMIL,0.6570909090909091,0.18313017544092725,0.2954545454545454,0.7954545454545454,0.5582010582010581,0.295;0.705;0.795;0.750;0.740,0.5116666666666666,0.18466185312619385,0.5185185185185185,0.200;0.667;0.667;0.400;0.625,0.6533333333333333,0.12927146286443544,0.6533333333333333,0.467;0.800;0.800;0.600;0.600,0.4340;0.5001;0.2956;0.3554;0.5376
Stenosis,SetTransformer,0.5134178807109635,0.1187022971206251,0.32817385866166354,0.6293285155073772,0.5062472653021537,0.418;0.601;0.629;0.590;0.328,0.279838027164889,0.04976489437452951,0.2738301559792028,0.207;0.324;0.333;0.299;0.236,0.43942729306487693,0.1596285605393332,0.43983957219251335,0.387;0.693;0.547;0.309;0.262,0.5034;0.4982;0.5632;0.5309;0.4585
Stridor,SetTransformer,0.4658181818181818,0.13216268462244393,0.2727272727272727,0.6363636363636364,0.49294532627865956,0.273;0.636;0.591;0.409;0.420,0.18632478632478633,0.17817181840403942,0.25,0.154;0.000;0.333;0.444;0.000,0.44000000000000006,0.12364824660660938,0.44,0.267;0.600;0.467;0.333;0.533,0.5664;0.5855;0.4242;0.4640;0.5210
Stenosis,TransMIL,0.5869792064180975,0.08169575090718614,0.46416741945197226,0.6997892201144235,0.5207837036316787,0.464;0.636;0.700;0.603;0.533,0.3225370241023616,0.07668310110468536,0.3226890756302521,0.205;0.375;0.431;0.295;0.306,0.46067114093959727,0.17306396081645498,0.4612299465240642,0.587;0.600;0.613;0.295;0.208,0.4936;0.4921;0.5228;0.5093;0.4831
