head,method,mean_auc,std_auc,min_auc,max_auc,pooled_auc,fold_aucs,mean_f1,std_f1,pooled_f1,fold_f1s,mean_acc,std_acc,pooled_acc,fold_accs,fold_thrs
Stenosis,SingleTask(picture-description),0.7921922968704256,0.03143409749479734,0.7530864197530863,0.8424015009380863,0.7918834167922603,0.795;0.765;0.753;0.805;0.842,0.4444123048127556,0.044177185590977136,0.43137254901960786,0.491;0.444;0.438;0.483;0.366,0.6507919463087248,0.14460389774939789,0.6510695187165776,0.820;0.733;0.607;0.698;0.396,0.5939;0.4961;0.2066;0.1935;0.0296
Stridor,SingleTask(diadochokinesis-buttercup),0.6485454545454546,0.11987679625762332,0.4090909090909091,0.72,0.6543209876543209,0.705;0.705;0.409;0.705;0.720,0.40842105263157896,0.11002895614853271,0.4117647058823529,0.421;0.500;0.200;0.500;0.421,0.4666666666666667,0.18378731669453627,0.4666666666666667,0.267;0.733;0.467;0.600;0.267,0.0003;0.4813;0.3359;0.2045;0.0248
Stenosis,mean-pool+LogReg,0.8175098051947313,0.03224564723670246,0.7756527018822099,0.8683552220137587,0.8146725655112063,0.791;0.822;0.830;0.776;0.868,0.4975378414834317,0.04610168513546892,0.5,0.500;0.519;0.419;0.491;0.560,0.8315615212527965,0.011368725159652973,0.8315508021390374,0.827;0.827;0.833;0.819;0.852,0.5390;0.6681;0.8134;0.5858;0.6019
Stenosis,mean-pool+RF,0.7292123226682735,0.023503832756096146,0.6906496660595021,0.7594098163203854,0.7276848655744081,0.740;0.717;0.759;0.691;0.739,0.4308269518521192,0.03291440926821324,0.4298507462686567,0.492;0.416;0.431;0.423;0.393,0.7446353467561521,0.031244916286942735,0.7446524064171123,0.793;0.700;0.753;0.725;0.752,0.4506;0.4057;0.4529;0.3874;0.4391
Stenosis,max-pool+LogReg,0.7359716322397916,0.024717461754985008,0.6994996873045654,0.7765733212887684,0.7379673294763964,0.730;0.777;0.741;0.732;0.699,0.4336549707602339,0.03962548243810001,0.4397590361445783,0.472;0.447;0.400;0.474;0.375,0.7513736017897091,0.027239267771212553,0.7513368983957219,0.747;0.720;0.760;0.732;0.799,0.3205;0.3234;0.4305;0.2445;0.5496
Stenosis,max-pool+RF,0.7240114780298708,0.019910648587529466,0.6915604128718883,0.7452574525745258,0.7221182361806603,0.731;0.745;0.741;0.692;0.712,0.423097286671086,0.03497476050277407,0.425414364640884,0.412;0.439;0.480;0.375;0.409,0.722076062639821,0.06686370353848636,0.7219251336898396,0.620;0.693;0.740;0.732;0.826,0.3450;0.3887;0.4020;0.3888;0.4681
Stridor,mean-pool+LogReg,0.6781818181818181,0.14043615648965468,0.4318181818181818,0.8,0.6604938271604938,0.432;0.795;0.750;0.614;0.800,0.35160896894643023,0.1959914392763253,0.42105263157894735,0.353;0.545;0.000;0.333;0.526,0.5599999999999999,0.19136933459209762,0.56,0.267;0.667;0.733;0.733;0.400,0.0059;0.1933;0.8352;0.4926;0.0225
Stridor,mean-pool+RF,0.67,0.061496489182864544,0.5909090909090909,0.7272727272727273,0.6684303350970018,0.591;0.727;0.705;0.727;0.600,0.3393939393939394,0.18297611078121853,0.3684210526315789,0.364;0.500;0.500;0.333;0.000,0.6799999999999999,0.07774602526460399,0.68,0.533;0.733;0.733;0.733;0.667,0.2460;0.3325;0.4177;0.4826;0.4955
Stridor,max-pool+LogReg,0.6185454545454545,0.1037584607722097,0.5227272727272727,0.82,0.6040564373897707,0.568;0.591;0.591;0.523;0.820,0.38,0.06531972647421809,0.40816326530612246,0.333;0.333;0.333;0.400;0.500,0.6133333333333334,0.1808621328833405,0.6133333333333333,0.467;0.733;0.733;0.800;0.333,0.2502;0.5190;0.5762;0.8712;0.0211
Stridor,max-pool+RF,0.7061818181818181,0.13685656362872944,0.5227272727272727,0.9400000000000001,0.691358024691358,0.523;0.705;0.727;0.636;0.940,0.5142857142857142,0.09068480544181397,0.5116279069767442,0.444;0.571;0.444;0.444;0.667,0.72,0.06531972647421812,0.72,0.667;0.800;0.667;0.667;0.800,0.3054;0.3695;0.3858;0.3002;0.3654
