head,method,mean_auc,std_auc,min_auc,max_auc,pooled_auc,fold_aucs,mean_f1,std_f1,pooled_f1,fold_f1s,mean_acc,std_acc,pooled_acc,fold_accs,fold_thrs
Stenosis,SingleTask(picture-description),0.9323345685467503,0.04080238904946587,0.8644986449864498,0.9799874921826142,0.9302955904516504,0.949;0.910;0.864;0.958;0.980,0.712284455577645,0.05872486983111146,0.708029197080292,0.692;0.698;0.636;0.719;0.816,0.8930917225950783,0.03341978908669207,0.893048128342246,0.893;0.913;0.840;0.879;0.940,0.7253;0.7812;0.4429;0.4247;0.6143
Stridor,SingleTask(diadochokinesis-buttercup),0.6736363636363636,0.12505866392012832,0.5454545454545454,0.8409090909090908,0.6481481481481481,0.636;0.841;0.545;0.545;0.800,0.39995180258338153,0.09747145251711668,0.43333333333333335,0.429;0.462;0.250;0.333;0.526,0.5466666666666666,0.114697670227235,0.5466666666666666,0.467;0.533;0.600;0.733;0.400,0.0286;0.1824;0.5147;0.3388;0.0072
Stenosis,mean-pool+LogReg,0.9230581651479959,0.031857764816727266,0.8773527625986642,0.9644685335742247,0.9256648354319607,0.964;0.937;0.896;0.877;0.941,0.6952059480463848,0.05314032034846237,0.6931407942238267,0.759;0.667;0.653;0.638;0.760,0.8863355704697987,0.02979955255927107,0.8863636363636364,0.907;0.887;0.887;0.832;0.919,0.3121;0.6108;0.7167;0.3777;0.4066
Stenosis,mean-pool+RF,0.8667761765189461,0.05197837213050765,0.7747666365552545,0.9220114423366457,0.8656230249404443,0.922;0.875;0.775;0.854;0.909,0.6015020614089654,0.08290052049501306,0.5987654320987654,0.687;0.629;0.448;0.592;0.653,0.826255033557047,0.04571855255446669,0.8262032085561497,0.860;0.827;0.753;0.805;0.886,0.3547;0.3702;0.3926;0.3758;0.4586
Stenosis,max-pool+LogReg,0.8845806027066855,0.037943304535105915,0.8268593797049081,0.9310448660042155,0.8841217365939034,0.931;0.912;0.827;0.856;0.897,0.6322961462285314,0.03606906394210966,0.6319702602230484,0.690;0.632;0.596;0.593;0.651,0.867668903803132,0.019437152099833804,0.8676470588235294,0.880;0.860;0.847;0.852;0.899,0.3580;0.3515;0.4678;0.5259;0.5385
Stenosis,max-pool+RF,0.8885335514417216,0.04023550978316575,0.8133092442035532,0.9246404002501564,0.8884486362973407,0.919;0.883;0.813;0.903;0.925,0.6419176170111666,0.0812324738018617,0.6372881355932203,0.656;0.656;0.492;0.667;0.739,0.8570380313199106,0.039954384452263764,0.856951871657754,0.853;0.860;0.793;0.859;0.919,0.3784;0.3849;0.4123;0.3862;0.4253
Stridor,mean-pool+LogReg,0.6790909090909091,0.12443591732559033,0.5,0.8636363636363635,0.6887125220458554,0.682;0.864;0.750;0.500;0.600,0.4542857142857143,0.17236121960196188,0.48148148148148145,0.250;0.667;0.571;0.250;0.533,0.6266666666666667,0.09043106644167026,0.6266666666666667,0.600;0.800;0.600;0.600;0.533,0.3605;0.4831;0.1127;0.3367;0.0257
Stridor,mean-pool+RF,0.7525454545454545,0.08075757007220398,0.6363636363636364,0.8636363636363635,0.7336860670194003,0.705;0.864;0.818;0.636;0.740,0.5166666666666666,0.15275252316519466,0.5263157894736842,0.500;0.667;0.667;0.250;0.500,0.64,0.11623730516108463,0.64,0.600;0.800;0.733;0.600;0.467,0.2895;0.3894;0.3126;0.3262;0.1900
Stridor,max-pool+LogReg,0.6734545454545453,0.14399426067534085,0.5227272727272727,0.8636363636363635,0.6701940035273367,0.523;0.864;0.818;0.523;0.640,0.49010989010989015,0.09664083897107978,0.4838709677419355,0.308;0.571;0.571;0.500;0.500,0.5733333333333335,0.1818424226264781,0.5733333333333334,0.400;0.800;0.600;0.733;0.333,0.1625;0.5177;0.1910;0.3089;0.0187
Stridor,max-pool+RF,0.7441818181818182,0.13613265285578519,0.5681818181818181,0.88,0.716931216931217,0.591;0.864;0.818;0.568;0.880,0.5276190476190477,0.0883920354298827,0.5172413793103449,0.400;0.667;0.571;0.500;0.500,0.6266666666666667,0.17688665548562135,0.6266666666666667,0.600;0.867;0.600;0.733;0.333,0.3527;0.3793;0.3059;0.2730;0.1599
Stenosis,mi-SVM,0.8756823196647268,0.021763809861639897,0.8376994881059922,0.9057512797350196,0.872198453984151,0.906;0.838;0.879;0.878;0.878,0.529143427896358,0.06180916553360961,0.5367965367965368,0.585;0.522;0.524;0.594;0.421,0.8569038031319911,0.02000312073706142,0.856951871657754,0.887;0.853;0.867;0.826;0.852,5.1862;4.4595;4.4634;2.6055;4.4526
Stridor,mi-SVM,0.6667272727272728,0.1243237575615171,0.5227272727272727,0.8636363636363636,0.6781305114638447,0.682;0.864;0.523;0.545;0.720,0.4007473228525861,0.1088746102844883,0.4067796610169492,0.286;0.600;0.364;0.333;0.421,0.5333333333333333,0.1632993161855452,0.5333333333333333,0.667;0.733;0.533;0.467;0.267,2.3793;1.7204;1.7005;1.2858;0.6079
Stenosis,GatedAttention,0.945457486521061,0.040901529090233084,0.8705209274314964,0.9906191369606003,0.9452331177986291,0.971;0.951;0.871;0.944;0.991,0.761776235460446,0.04466520011347501,0.7586206896551724,0.794;0.731;0.737;0.714;0.833,0.9064161073825503,0.025816494325667072,0.9064171122994652,0.913;0.907;0.900;0.866;0.946,0.4504;0.6197;0.7470;0.1416;0.6407
Stridor,GatedAttention,0.7325454545454545,0.13231742450050288,0.5454545454545454,0.9318181818181818,0.6860670194003528,0.750;0.932;0.795;0.545;0.640,0.5327272727272727,0.1569966046903484,0.5283018867924528,0.600;0.800;0.400;0.364;0.500,0.6666666666666667,0.1192569587999888,0.6666666666666666,0.733;0.867;0.600;0.533;0.600,0.6314;0.5084;0.3847;0.3607;0.3835
Stenosis,DSMIL,0.9435565185132024,0.03811282017918969,0.8744354110207768,0.9865540963101939,0.9402620448247362,0.968;0.947;0.874;0.941;0.987,0.7225796292662859,0.049184233713908156,0.7197231833910035,0.793;0.708;0.655;0.696;0.762,0.8917225950782999,0.02911074889271223,0.8917112299465241,0.920;0.873;0.873;0.859;0.933,0.4030;0.2045;0.6711;0.3609;0.6329
Stridor,DSMIL,0.7878181818181819,0.0507158670787922,0.7045454545454546,0.8409090909090909,0.6296296296296295,0.705;0.841;0.841;0.773;0.780,0.5888777888777889,0.04653891422776116,0.5925925925925926,0.545;0.615;0.667;0.571;0.545,0.7066666666666666,0.05333333333333336,0.7066666666666667,0.667;0.667;0.733;0.800;0.667,0.4131;0.1065;0.5662;0.4039;0.3168
Stenosis,SetTransformer,0.9315536083762128,0.04070846925855719,0.8810599217103283,0.9912445278298937,0.9143614176673635,0.966;0.911;0.881;0.908;0.991,0.7439542625560862,0.09502663447333327,0.7368421052631579,0.816;0.667;0.600;0.786;0.851,0.906496644295302,0.04142200976126692,0.9064171122994652,0.940;0.880;0.840;0.919;0.953,0.8793;0.6195;0.7738;0.3816;0.7008
Stridor,SetTransformer,0.6572727272727273,0.1904019237349861,0.4,0.9545454545454545,0.5035273368606701,0.750;0.955;0.659;0.523;0.400,0.433044733044733,0.10028642019078202,0.41509433962264153,0.500;0.571;0.444;0.286;0.364,0.5866666666666667,0.15434449203720302,0.5866666666666667,0.600;0.800;0.667;0.333;0.533,0.4928;0.4977;0.7394;0.4499;0.4367
