head,method,mean_auc,std_auc,min_auc,max_auc,pooled_auc,fold_aucs,mean_f1,std_f1,pooled_f1,fold_f1s,mean_acc,std_acc,pooled_acc,fold_accs,fold_thrs
Stenosis,SingleTask(picture-description),0.8918954355579706,0.03504882629385013,0.8322794339054501,0.940194292653309,0.8900165297292042,0.886;0.894;0.832;0.940;0.907,0.5980470457363187,0.06340578620929167,0.5963855421686747,0.590;0.655;0.479;0.641;0.625,0.8208680089485461,0.037992501310111046,0.820855614973262,0.833;0.867;0.753;0.812;0.839,0.5642;0.4507;0.2938;0.2821;0.3082
Stridor,SingleTask(diadochokinesis-buttercup),0.6592727272727272,0.014378588305285473,0.6363636363636364,0.6818181818181818,0.6666666666666666,0.682;0.659;0.659;0.636;0.660,0.45103785103785105,0.10318609006144054,0.4642857142857143,0.462;0.333;0.333;0.571;0.556,0.6,0.1398411797560202,0.6,0.533;0.467;0.733;0.800;0.467,0.1537;0.1048;0.8612;0.2888;0.0437
Stenosis,mean-pool+LogReg,0.9254818490457568,0.008680049816235932,0.9114724480578139,0.9361638060825053,0.9239875540862463,0.936;0.921;0.911;0.928;0.932,0.6922146636432351,0.03726298947828899,0.6888888888888889,0.694;0.635;0.679;0.704;0.750,0.8877494407158837,0.02419659994821269,0.8877005347593583,0.900;0.847;0.880;0.893;0.919,0.5759;0.3768;0.5960;0.7129;0.6731
Stenosis,mean-pool+RF,0.7967954698462496,0.057479242948928595,0.7200971463266544,0.8646028767979987,0.7909475424182022,0.829;0.834;0.737;0.720;0.865,0.4643729603729604,0.08513441614200945,0.4675324675324675,0.545;0.436;0.320;0.467;0.554,0.7807874720357942,0.04227188878575628,0.7807486631016043,0.833;0.707;0.773;0.785;0.805,0.4464;0.3960;0.5038;0.5008;0.3802
Stenosis,max-pool+LogReg,0.900852422563738,0.0370977802521372,0.8587774766636556,0.9527250828063837,0.9041640332539258,0.953;0.861;0.859;0.903;0.929,0.6313170538734448,0.07822658218849837,0.6330935251798561,0.692;0.606;0.490;0.667;0.702,0.8636868008948546,0.027946118177176585,0.8636363636363636,0.893;0.827;0.833;0.879;0.886,0.2786;0.2001;0.5912;0.5836;0.3912
Stenosis,max-pool+RF,0.8072982013272563,0.04315439108694986,0.7594098163203853,0.8798554652213187,0.8061038455928825,0.880;0.759;0.767;0.816;0.814,0.4864237798977956,0.0770762642593766,0.4835820895522388,0.632;0.407;0.441;0.484;0.468,0.768599552572707,0.0637018715711068,0.7687165775401069,0.860;0.787;0.747;0.785;0.664,0.4091;0.4354;0.3836;0.4305;0.3350
Stridor,mean-pool+LogReg,0.7036363636363637,0.08978394636455554,0.5909090909090909,0.8636363636363636,0.7001763668430334,0.705;0.864;0.591;0.659;0.700,0.48752136752136754,0.14825626704094857,0.49056603773584906,0.429;0.600;0.222;0.571;0.615,0.6399999999999999,0.12364824660660939,0.64,0.467;0.733;0.533;0.800;0.667,0.0287;0.6881;0.5320;0.3344;0.0528
Stridor,mean-pool+RF,0.731090909090909,0.0958673325723912,0.5909090909090908,0.86,0.7134038800705467,0.659;0.795;0.750;0.591;0.860,0.5385964912280701,0.06484111793886431,0.5333333333333333,0.500;0.500;0.667;0.500;0.526,0.6266666666666667,0.13727506854649335,0.6266666666666667,0.600;0.600;0.800;0.733;0.400,0.2761;0.3420;0.4006;0.3461;0.1029
Stridor,max-pool+LogReg,0.7309090909090908,0.0833889621488627,0.6363636363636364,0.8409090909090908,0.7336860670194003,0.636;0.841;0.818;0.659;0.700,0.5173626373626374,0.07335985878237485,0.5217391304347826,0.400;0.571;0.500;0.500;0.615,0.7066666666666667,0.0679869268479038,0.7066666666666667,0.600;0.800;0.733;0.733;0.667,0.3477;0.7765;0.5946;0.3504;0.2121
Stridor,max-pool+RF,0.73,0.13356522534510099,0.5227272727272727,0.9,0.6984126984126985,0.523;0.841;0.727;0.659;0.900,0.47904761904761906,0.10068247837259053,0.49122807017543857,0.400;0.500;0.400;0.429;0.667,0.6133333333333333,0.08844332774281065,0.6133333333333333,0.600;0.733;0.600;0.467;0.667,0.3562;0.3798;0.3394;0.2067;0.2365
Stenosis,mi-SVM,0.8792568062993226,0.027446476848387167,0.8398072869617585,0.9256248118036736,0.8813748845349798,0.926;0.872;0.840;0.878;0.881,0.5978198603385015,0.07776840624196123,0.5986842105263158,0.704;0.471;0.600;0.643;0.571,0.83696644295302,0.039449899636439696,0.8368983957219251,0.860;0.760;0.840;0.866;0.859,2.3102;2.7974;2.9888;3.3262;3.2099
Stridor,mi-SVM,0.6779999999999999,0.12207083704226145,0.5454545454545454,0.8636363636363635,0.6684303350970018,0.568;0.773;0.864;0.545;0.640,0.38606060606060605,0.2197552691717356,0.4444444444444444,0.364;0.000;0.667;0.400;0.500,0.6,0.16329931618554522,0.6,0.533;0.733;0.800;0.600;0.333,1.6276;5.5131;2.6941;0.7567;-0.0364
Stenosis,GatedAttention,0.8750169068175199,0.03695415209081981,0.8262571514604035,0.9316939890710383,0.8684184938499683,0.891;0.826;0.844;0.932;0.882,0.6228426211265194,0.04126776389428726,0.624113475177305,0.625;0.594;0.576;0.697;0.622,0.8583355704697986,0.024136310119821994,0.8582887700534759,0.880;0.827;0.833;0.866;0.886,0.6995;0.4345;0.6729;0.5402;0.6806
Stridor,GatedAttention,0.6772727272727271,0.18818401404076773,0.4318181818181818,0.9318181818181819,0.5776014109347443,0.705;0.932;0.818;0.432;0.500,0.45939393939393947,0.12411079501740803,0.4583333333333333,0.400;0.533;0.667;0.364;0.333,0.6533333333333333,0.12927146286443544,0.6533333333333333,0.600;0.533;0.867;0.533;0.733,0.4873;0.5290;0.5283;0.4846;0.5731
Stenosis,DSMIL,0.8883435040039064,0.04315272560515218,0.8319783197831978,0.9409005628517824,0.8738149642666149,0.882;0.832;0.853;0.934;0.941,0.6339732186512925,0.10007395699839348,0.6405693950177936,0.588;0.581;0.500;0.746;0.755,0.8650648769574942,0.031102117795311683,0.8649732620320856,0.860;0.827;0.840;0.886;0.913,0.6035;0.2940;0.7519;0.3315;0.6485
