head,method,mean_auc,std_auc,min_auc,max_auc,pooled_auc,fold_aucs,mean_f1,std_f1,pooled_f1,fold_f1s,mean_acc,std_acc,pooled_acc,fold_accs,fold_thrs
Stenosis,SingleTask(picture-description),0.7888511452019382,0.04125832104558106,0.7368262571514603,0.8357619914996963,0.7913243230103555,0.737;0.793;0.747;0.836;0.832,0.5073341292853488,0.044480306419140525,0.5054347826086957,0.436;0.500;0.513;0.512;0.576,0.756724832214765,0.03795219984199293,0.7566844919786097,0.707;0.787;0.747;0.732;0.812,0.3250;0.5237;0.4346;0.2548;0.3807
Stridor,SingleTask(diadochokinesis-buttercup),0.6587272727272727,0.1074906876612309,0.5,0.8181818181818181,0.673721340388007,0.500;0.705;0.818;0.591;0.680,0.48666666666666664,0.25086516962969035,0.5384615384615384,0.000;0.500;0.667;0.600;0.667,0.6799999999999999,0.07774602526460402,0.68,0.600;0.600;0.800;0.733;0.667,0.5464;0.2709;0.4943;0.1451;0.1472
Stenosis,mean-pool+LogReg,0.8160090949375236,0.046766780396926874,0.7461607949412827,0.8623908461306835,0.8134814526714957,0.774;0.862;0.746;0.843;0.854,0.5290286603815544,0.06055556570399608,0.5300353356890459,0.464;0.588;0.448;0.558;0.586,0.8222818791946308,0.030470343975383483,0.8221925133689839,0.800;0.813;0.787;0.872;0.839,0.5209;0.3909;0.5587;0.7533;0.4074
Stenosis,mean-pool+RF,0.7116100188604519,0.05874893758379198,0.6335441132189099,0.7871123155676001,0.7111186737323156,0.634;0.787;0.660;0.713;0.765,0.4059898072941551,0.06523763830823266,0.4098360655737705,0.308;0.500;0.381;0.391;0.450,0.8075525727069351,0.031906233205599314,0.8074866310160428,0.760;0.787;0.827;0.812;0.852,0.4689;0.4404;0.5476;0.5238;0.5331
Stenosis,max-pool+LogReg,0.7696871868536534,0.03570715947932626,0.7241794640168624,0.8256549232158988,0.768036851572755,0.759;0.826;0.724;0.747;0.793,0.44376766250845,0.02696354199144462,0.4452296819787986,0.464;0.426;0.407;0.440;0.483,0.7901476510067114,0.02588932628789202,0.7901069518716578,0.753;0.820;0.767;0.812;0.799,0.2679;0.6822;0.4796;0.6576;0.4333
Stenosis,max-pool+RF,0.7055208685756467,0.05442147109886282,0.610960554049985,0.7751719824890557,0.7000826486460207,0.708;0.736;0.611;0.697;0.775,0.40275165676026503,0.04325996397989988,0.4044943820224719,0.392;0.419;0.324;0.439;0.440,0.7166711409395973,0.07922356730673043,0.7165775401069518,0.793;0.593;0.693;0.691;0.812,0.4355;0.3774;0.4365;0.3912;0.4445
Stridor,mean-pool+LogReg,0.8145454545454547,0.05971004317699279,0.7727272727272727,0.9318181818181818,0.7865961199294532,0.773;0.795;0.932;0.773;0.800,0.44357864357864357,0.22199272270605763,0.5098039215686274,0.000;0.545;0.571;0.545;0.556,0.6666666666666667,0.1115546702045434,0.6666666666666666,0.733;0.667;0.800;0.667;0.467,0.9104;0.5076;0.5528;0.0658;0.0452
Stridor,mean-pool+RF,0.76,0.059153812672718006,0.6818181818181818,0.8409090909090909,0.746031746031746,0.773;0.841;0.705;0.682;0.800,0.41450549450549445,0.23991142752356368,0.4897959183673469,0.000;0.600;0.571;0.286;0.615,0.6666666666666666,0.04216370213557838,0.6666666666666666,0.667;0.733;0.600;0.667;0.667,0.4837;0.3856;0.2134;0.3341;0.2515
Stridor,max-pool+LogReg,0.7463636363636363,0.0872632570619379,0.6590909090909091,0.8863636363636364,0.7380952380952381,0.727;0.659;0.886;0.659;0.800,0.3252631578947368,0.26759211529154775,0.43636363636363634,0.000;0.600;0.500;0.000;0.526,0.5866666666666667,0.12927146286443542,0.5866666666666667,0.667;0.733;0.467;0.667;0.400,0.7422;0.5777;0.0305;0.6944;0.0648
Stridor,max-pool+RF,0.7503636363636363,0.1387983852050779,0.4772727272727273,0.8636363636363636,0.7328042328042329,0.795;0.795;0.864;0.477;0.820,0.5176470588235295,0.16200516886965188,0.5245901639344263,0.500;0.750;0.500;0.250;0.588,0.6133333333333334,0.1359738536958076,0.6133333333333333,0.600;0.867;0.467;0.600;0.533,0.3109;0.3791;0.1893;0.2758;0.2158
