target,method,mean_auc,std_auc,mean_f1,std_f1,mean_bacc,std_bacc,pooled_auc,pooled_f1,pooled_bacc,pooled_confusion,fold_aucs,fold_f1s,fold_baccs
localization,SingleTask(picture-description),0.7181275371613536,0.09308150505285372,0.4364269897603231,0.06308379395926382,0.4537037037037036,0.06171975248139675,0.695740460469325,0.44904626237959566,0.450916179337232,"[[74, 10, 6], [7, 8, 10], [4, 11, 4]]",0.737;0.546;0.822;0.770;0.716,0.393;0.337;0.513;0.474;0.466,0.431;0.344;0.513;0.506;0.474
localization,mean-pool+LogReg,0.7982743352550116,0.07626183065307007,0.47861171449406736,0.11387140675413467,0.5011111111111111,0.10687993083789027,0.7888283562714103,0.5527250527250528,0.552943469785575,"[[79, 4, 7], [8, 9, 8], [5, 6, 8]]",0.841;0.661;0.777;0.881;0.831,0.517;0.476;0.270;0.614;0.516,0.530;0.493;0.315;0.646;0.522
localization,mean-pool+RF,0.7983439757594346,0.09510564675292042,0.42184623867550697,0.04022779565164006,0.4703703703703703,0.0887885235851963,0.7853146543214353,0.49977927110413495,0.5416374269005848,"[[75, 4, 11], [6, 4, 15], [3, 4, 12]]",0.807;0.616;0.861;0.826;0.882,0.459;0.388;0.424;0.366;0.471,0.467;0.391;0.481;0.383;0.630
localization,max-pool+LogReg,0.7702744955885052,0.05563015799214053,0.4267343143759351,0.06831871790383859,0.4703703703703703,0.10145038723414931,0.7566427693756436,0.42485895524569556,0.42994152046783624,"[[78, 4, 8], [8, 4, 13], [5, 9, 5]]",0.760;0.683;0.800;0.756;0.852,0.464;0.314;0.443;0.396;0.517,0.465;0.324;0.481;0.441;0.641
localization,max-pool+RF,0.8054606044340344,0.06108113983128147,0.37534699949627204,0.08130449152819431,0.4214814814814815,0.10967341467975339,0.792183747283258,0.4269362134219515,0.5266666666666667,"[[63, 27, 0], [3, 22, 0], [1, 18, 0]]",0.756;0.713;0.858;0.828;0.872,0.242;0.335;0.450;0.384;0.465,0.231;0.433;0.446;0.422;0.574
localization,mi-SVM,0.7786120928633005,0.04731025460385068,0.5016339456741934,0.08306499606754092,0.5448148148148148,0.08131633094903105,0.7827867630743789,0.5577218480444287,0.5659649122807018,"[[81, 7, 2], [7, 16, 2], [8, 8, 3]]",0.833;0.742;0.723;0.758;0.837,0.419;0.400;0.511;0.559;0.620,0.448;0.459;0.563;0.591;0.663
localization,GatedAttention,0.8070632190318181,0.09722227049081614,0.4190217492399257,0.03382124644759635,0.47407407407407415,0.07718468756504125,0.74903986859123,0.4079365079365079,0.4818713450292398,"[[78, 0, 12], [7, 0, 18], [7, 1, 11]]",0.784;0.629;0.864;0.855;0.904,0.360;0.428;0.407;0.453;0.448,0.381;0.428;0.463;0.487;0.611
localization,DSMIL,0.7942711216141167,0.08717502027493386,0.41952087010910544,0.018175828154649912,0.5003703703703704,0.07267568940095427,0.7581833860052741,0.4440813843041902,0.512748538011696,"[[78, 0, 12], [6, 1, 18], [7, 0, 12]]",0.799;0.631;0.845;0.809;0.887,0.410;0.407;0.399;0.433;0.448,0.463;0.409;0.463;0.556;0.611
localization,SetTransformer,0.7976367482043811,0.09564112558971341,0.4434442166021114,0.07739158052805804,0.452962962962963,0.07840662887347699,0.7150715925587338,0.4705882352941176,0.5039766081871345,"[[69, 17, 4], [6, 16, 3], [5, 12, 2]]",0.807;0.614;0.844;0.834;0.889,0.542;0.320;0.415;0.433;0.508,0.548;0.326;0.430;0.439;0.522
localization,TransMIL,0.8065161274581565,0.07347990194851801,0.40367040367040363,0.0564818563024711,0.42370370370370364,0.06463360913143623,0.7057835943462506,0.3634681145185346,0.3661988304093568,"[[75, 11, 4], [14, 4, 7], [8, 9, 2]]",0.820;0.661;0.853;0.848;0.851,0.402;0.407;0.406;0.312;0.491,0.459;0.409;0.417;0.319;0.515
