target,method,mean_auc,std_auc,mean_f1,std_f1,mean_bacc,std_bacc,pooled_auc,pooled_f1,pooled_bacc,pooled_confusion,fold_aucs,fold_f1s,fold_baccs
stridor,SingleTask(picture-description),0.7583636363636364,0.10935029768274883,0.6066793663852488,0.13928864473581348,0.6727272727272726,0.14648075494838197,0.7760141093474426,0.6629901960784313,0.6798941798941799,"[[40, 14], [8, 13]]",0.568;0.705;0.841;0.818;0.860,0.489;0.661;0.762;0.722;0.400,0.489;0.773;0.784;0.818;0.500
stridor,mean-pool+LogReg,0.6798181818181819,0.14570818794102774,0.5644989066660893,0.11817320778807623,0.6036363636363637,0.10610107453051042,0.6763668430335097,0.6031746031746031,0.6084656084656084,"[[40, 14], [11, 10]]",0.455;0.841;0.795;0.568;0.740,0.400;0.700;0.525;0.498;0.700,0.455;0.739;0.602;0.523;0.700
stridor,mean-pool+RF,0.788,0.1507254084762439,0.5850165945165946,0.07542906701699933,0.610909090909091,0.09414030324050841,0.7566137566137566,0.6931818181818181,0.6878306878306879,"[[46, 8], [10, 11]]",0.545;0.864;0.909;0.682;0.940,0.444;0.659;0.598;0.640;0.583,0.443;0.659;0.727;0.625;0.600
stridor,max-pool+LogReg,0.7867272727272727,0.14567778323727204,0.6272349219408043,0.1741882464276471,0.6659090909090909,0.18708286933869708,0.7522045855379189,0.6583481877599524,0.6851851851851851,"[[38, 16], [7, 14]]",0.568;0.886;0.977;0.682;0.820,0.375;0.850;0.661;0.489;0.762,0.409;0.909;0.773;0.489;0.750
stridor,max-pool+RF,0.7770909090909089,0.13582365815903533,0.527878787878788,0.0951141115443762,0.5677272727272727,0.10375591190962735,0.7425044091710757,0.6576831123668767,0.66005291005291,"[[43, 11], [10, 11]]",0.568;0.841;0.955;0.682;0.840,0.375;0.659;0.533;0.489;0.583,0.409;0.659;0.682;0.489;0.600
stridor,mi-SVM,0.6221818181818182,0.12705643959664226,0.5876009800313206,0.07648022568382888,0.6245454545454546,0.08636842092009904,0.6366843033509699,0.5908264295817337,0.6044973544973545,"[[37, 17], [10, 11]]",0.568;0.795;0.750;0.477;0.520,0.525;0.641;0.700;0.489;0.583,0.602;0.693;0.739;0.489;0.600
stridor,GatedAttention,0.8101818181818181,0.12544057893271704,0.6624008142886862,0.09853481514179423,0.6740909090909092,0.11953422000442432,0.7742504409171076,0.6708246708246708,0.664021164021164,"[[46, 8], [11, 10]]",0.591;0.841;0.886;0.773;0.960,0.489;0.659;0.785;0.659;0.720,0.489;0.659;0.864;0.659;0.700
stridor,DSMIL,0.8409090909090908,0.12530953410991105,0.6903860028860029,0.09117140172158249,0.7168181818181818,0.07146055954334485,0.7671957671957672,0.6583481877599524,0.6851851851851851,"[[38, 16], [7, 14]]",0.636;0.886;0.909;0.773;1.000,0.603;0.762;0.598;0.659;0.830,0.614;0.784;0.727;0.659;0.800
stridor,SetTransformer,0.7789090909090909,0.14791934366878784,0.49109703368526897,0.08335920095794581,0.5436363636363637,0.07979053155368647,0.6014109347442681,0.5404411764705883,0.5476190476190476,"[[36, 18], [12, 9]]",0.545;0.773;0.932;0.705;0.940,0.444;0.423;0.423;0.640;0.525,0.443;0.500;0.500;0.625;0.650
stridor,TransMIL,0.7607272727272727,0.1653869991992485,0.5761470586666441,0.14309203487422612,0.5940909090909091,0.1390983361059291,0.6313932980599648,0.5874192776847644,0.5833333333333334,"[[45, 9], [14, 7]]",0.455;0.773;0.864;0.773;0.940,0.348;0.525;0.583;0.640;0.785,0.364;0.602;0.580;0.625;0.800
