target,method,mean_auc,std_auc,mean_f1,std_f1,mean_bacc,std_bacc,pooled_auc,pooled_f1,pooled_bacc,pooled_confusion,fold_aucs,fold_f1s,fold_baccs
stridor,SingleTask(picture-description),0.6838181818181818,0.11354308899202648,0.6198096737022569,0.07696047631157518,0.64,0.07237985199768376,0.6746031746031746,0.6591724467830662,0.6494708994708994,"[[47, 7], [12, 9]]",0.545;0.636;0.864;0.614;0.760,0.640;0.525;0.700;0.534;0.700,0.625;0.602;0.739;0.534;0.700
stridor,mean-pool+LogReg,0.7387272727272728,0.12353284436279945,0.6433090301511355,0.0628699831826486,0.6827272727272728,0.09377967849792165,0.7451499118165785,0.6411483253588517,0.6812169312169312,"[[35, 19], [6, 15]]",0.818;0.705;0.932;0.659;0.580,0.700;0.641;0.722;0.603;0.550,0.739;0.693;0.818;0.614;0.550
stridor,mean-pool+RF,0.7452727272727271,0.07362042476207788,0.6229217642261121,0.11857694698547856,0.6272727272727273,0.11575301434769858,0.7433862433862435,0.7023809523809523,0.7023809523809523,"[[45, 9], [9, 12]]",0.750;0.750;0.773;0.614;0.840,0.534;0.830;0.659;0.603;0.489,0.534;0.830;0.659;0.614;0.500
stridor,max-pool+LogReg,0.7503636363636363,0.18308792992069312,0.6292902711323765,0.17869893977303875,0.6381818181818182,0.16446381701589569,0.7451499118165785,0.6902847207128885,0.693121693121693,"[[44, 10], [9, 12]]",0.409;0.955;0.818;0.750;0.820,0.375;0.792;0.641;0.489;0.850,0.409;0.750;0.693;0.489;0.850
stridor,max-pool+RF,0.7038181818181818,0.10936541221259011,0.6699569658665768,0.11548093477255401,0.7009090909090909,0.11180894270773463,0.7063492063492063,0.6762166405023547,0.7089947089947091,"[[38, 16], [6, 15]]",0.523;0.705;0.750;0.682;0.860,0.534;0.830;0.598;0.603;0.785,0.534;0.830;0.727;0.614;0.800
stridor,mi-SVM,0.7094545454545456,0.06062102845472922,0.6179843548264601,0.02780528407629777,0.6231818181818183,0.028618320433994888,0.7107583774250441,0.6031746031746031,0.6084656084656084,"[[40, 14], [11, 10]]",0.727;0.682;0.659;0.659;0.820,0.583;0.603;0.603;0.659;0.641,0.580;0.614;0.614;0.659;0.650
stridor,GatedAttention,0.6872727272727273,0.18203169281771414,0.6216787439613526,0.112126099734766,0.6409090909090909,0.11512659219921764,0.6313932980599648,0.6345029239766082,0.6256613756613756,"[[47, 7], [13, 8]]",0.341;0.705;0.727;0.864;0.800,0.444;0.583;0.598;0.720;0.762,0.443;0.580;0.727;0.705;0.750
stridor,DSMIL,0.6861818181818181,0.19610285714010492,0.6483662218788078,0.14406301098075677,0.6622727272727273,0.13236251248274114,0.6490299823633157,0.6196754563894523,0.611111111111111,"[[48, 6], [14, 7]]",0.318;0.682;0.727;0.864;0.840,0.375;0.720;0.641;0.720;0.785,0.409;0.705;0.693;0.705;0.800
stridor,SetTransformer,0.7463636363636363,0.07721388133667668,0.5521391941391942,0.10422216966757454,0.6286363636363637,0.07005900700702171,0.6419753086419753,0.6126833298905185,0.623015873015873,"[[39, 15], [10, 11]]",0.614;0.727;0.750;0.841;0.800,0.640;0.423;0.464;0.533;0.700,0.625;0.500;0.636;0.682;0.700
stridor,TransMIL,0.7054545454545454,0.147860778833859,0.5989316770186335,0.11870004574685855,0.6036363636363637,0.09694294138459755,0.6111111111111112,0.6196754563894523,0.611111111111111,"[[48, 6], [14, 7]]",0.432;0.727;0.705;0.864;0.800,0.400;0.720;0.534;0.640;0.700,0.455;0.705;0.534;0.625;0.700
