target,method,mean_auc,std_auc,mean_f1,std_f1,mean_bacc,std_bacc,pooled_auc,pooled_f1,pooled_bacc,pooled_confusion,fold_aucs,fold_f1s,fold_baccs
localization,SingleTask(picture-description),0.7335567545712474,0.057134971219217456,0.4407767270925166,0.04854064818469537,0.4696296296296296,0.04608991034262212,0.7299053831267842,0.46015096015096013,0.4588304093567251,"[[75, 6, 9], [9, 7, 9], [8, 6, 5]]",0.685;0.704;0.841;0.741;0.696,0.381;0.390;0.450;0.476;0.506,0.411;0.444;0.446;0.535;0.511
localization,mean-pool+LogReg,0.7631936456815682,0.10698287563204344,0.4625123635649951,0.14741871254683278,0.4814814814814815,0.1395515057995401,0.7448286188005501,0.5538704090242927,0.5546588693957115,"[[77, 3, 10], [6, 11, 8], [5, 7, 7]]",0.650;0.704;0.909;0.678;0.875,0.298;0.330;0.713;0.481;0.491,0.306;0.361;0.700;0.496;0.544
localization,mean-pool+RF,0.7190685263028258,0.10020047779123822,0.39117874377420214,0.10080353242728123,0.4381481481481481,0.1192891611926755,0.7093936329685704,0.3935590421139554,0.4873294346978558,"[[70, 0, 20], [7, 0, 18], [6, 0, 13]]",0.619;0.663;0.764;0.655;0.895,0.278;0.266;0.443;0.452;0.517,0.252;0.372;0.481;0.478;0.607
localization,max-pool+LogReg,0.6580088380933792,0.10241925280592777,0.38421969511219,0.11155155967004986,0.43925925925925924,0.151038472011057,0.6619577743014227,0.4475425072439998,0.5081481481481481,"[[76, 14, 0], [8, 17, 0], [8, 11, 0]]",0.711;0.503;0.749;0.571;0.756,0.419;0.250;0.508;0.255;0.489,0.507;0.278;0.611;0.241;0.559
localization,max-pool+RF,0.6987068639001006,0.0537009227026635,0.358907920610707,0.03442871942150208,0.4,0.042179965859282784,0.6911028701418767,0.4038366641993585,0.43925925925925924,"[[79, 11, 0], [14, 11, 0], [10, 9, 0]]",0.642;0.657;0.678;0.727;0.789,0.369;0.373;0.299;0.350;0.404,0.400;0.411;0.324;0.454;0.411
localization,mi-SVM,0.8034461709340937,0.04224819253107183,0.5095168219007228,0.11857689980763014,0.5607407407407408,0.11277397670417376,0.7934890493751997,0.45717303510406965,0.479766081871345,"[[78, 9, 3], [10, 13, 2], [7, 11, 1]]",0.730;0.803;0.806;0.818;0.861,0.380;0.440;0.524;0.727;0.476,0.444;0.526;0.513;0.776;0.544
localization,GatedAttention,0.770586582410254,0.05228304494935141,0.43986811060340464,0.16345504809792713,0.4603703703703704,0.17803068430521693,0.7544434820496585,0.4960605535999385,0.5215204678362574,"[[69, 15, 6], [6, 16, 3], [7, 9, 3]]",0.720;0.742;0.802;0.730;0.858,0.250;0.317;0.644;0.362;0.626,0.222;0.344;0.646;0.404;0.685
localization,DSMIL,0.7855208863421423,0.05270505188865977,0.548282953019795,0.0664218335090054,0.5651851851851852,0.0679142523997161,0.7541163738519563,0.5373514431239389,0.5388304093567252,"[[75, 11, 4], [9, 13, 3], [6, 8, 5]]",0.825;0.694;0.803;0.763;0.842,0.458;0.536;0.635;0.612;0.500,0.446;0.543;0.646;0.598;0.593
localization,SetTransformer,0.7913531856406253,0.06691307248228964,0.3851071230018598,0.08348620999285311,0.42851851851851847,0.08329299435182573,0.6918119518758781,0.45385878489326775,0.444990253411306,"[[76, 12, 2], [14, 7, 4], [10, 5, 4]]",0.867;0.702;0.758;0.758;0.872,0.460;0.301;0.453;0.267;0.444,0.515;0.326;0.457;0.333;0.511
localization,TransMIL,0.779485829075201,0.08941573531673286,0.41102061222804254,0.08326209077492239,0.45666666666666667,0.10726427244269722,0.6653591831936676,0.3846706690705873,0.4084600389863548,"[[47, 22, 21], [4, 11, 10], [5, 9, 5]]",0.840;0.646;0.826;0.703;0.882,0.472;0.319;0.524;0.314;0.426,0.515;0.356;0.513;0.307;0.593
