target,method,mean_auc,std_auc,mean_f1,std_f1,mean_bacc,std_bacc,pooled_auc,pooled_f1,pooled_bacc,pooled_confusion,fold_aucs,fold_f1s,fold_baccs
stridor,SingleTask(picture-description),0.7009090909090909,0.12552040432067785,0.5483952965417497,0.08156987489187183,0.5731818181818181,0.07362233311899517,0.7072310405643739,0.6362433862433863,0.6362433862433863,"[[43, 11], [11, 10]]",0.455;0.773;0.750;0.727;0.800,0.534;0.400;0.583;0.583;0.641,0.534;0.455;0.648;0.580;0.650
stridor,mean-pool+LogReg,0.6934545454545453,0.04458588146988104,0.601396029599691,0.09228296592773844,0.6118181818181818,0.08920447307466664,0.6825396825396826,0.614007607965988,0.6124338624338624,"[[43, 11], [12, 9]]",0.614;0.727;0.682;0.705;0.740,0.498;0.720;0.489;0.641;0.659,0.523;0.705;0.489;0.693;0.650
stridor,mean-pool+RF,0.7145454545454545,0.10497540050289786,0.6444995063416117,0.12587035078772627,0.6431818181818182,0.11778780472590852,0.6843033509700176,0.612312030075188,0.6071428571428572,"[[45, 9], [13, 8]]",0.545;0.841;0.727;0.659;0.800,0.444;0.792;0.641;0.583;0.762,0.443;0.750;0.693;0.580;0.750
stridor,max-pool+LogReg,0.7981818181818182,0.10117491604327446,0.5674282841341665,0.0942617192494067,0.6386363636363637,0.089304012292675,0.7857142857142856,0.6936274509803921,0.712962962962963,"[[41, 13], [7, 14]]",0.682;0.932;0.773;0.705;0.900,0.661;0.640;0.533;0.603;0.400,0.773;0.625;0.682;0.614;0.500
stridor,max-pool+RF,0.6670909090909091,0.13780978626383047,0.5009382332643202,0.13350703394723876,0.52,0.1337584476362132,0.6869488536155203,0.5908264295817337,0.6044973544973545,"[[37, 17], [10, 11]]",0.500;0.886;0.705;0.705;0.540,0.348;0.640;0.583;0.603;0.330,0.364;0.625;0.648;0.614;0.350
stridor,mi-SVM,0.65,0.12743496153523803,0.6285916702163842,0.11878996199645292,0.655,0.1382625362331381,0.6728395061728395,0.592391304347826,0.5992063492063492,"[[39, 15], [11, 10]]",0.795;0.523;0.795;0.636;0.500,0.722;0.720;0.641;0.659;0.400,0.818;0.705;0.693;0.659;0.400
stridor,GatedAttention,0.5885454545454545,0.10635602148343612,0.5472222222222222,0.13565115026383387,0.5581818181818182,0.10903028618592692,0.5582010582010581,0.5909090909090909,0.5886243386243386,"[[43, 11], [13, 8]]",0.523;0.636;0.636;0.727;0.420,0.400;0.550;0.550;0.792;0.444,0.455;0.568;0.568;0.750;0.450
stridor,DSMIL,0.688,0.1935637080935088,0.6570936157663846,0.17150673029575958,0.6922727272727274,0.16291888160514442,0.6737213403880071,0.6527777777777778,0.6904761904761905,"[[36, 18], [6, 15]]",0.409;0.864;0.568;0.659;0.940,0.534;0.700;0.423;0.700;0.928,0.534;0.739;0.500;0.739;0.950
stridor,SetTransformer,0.6896363636363636,0.13878409416568038,0.4184615384615385,0.00923076923076922,0.5,0.0,0.527336860670194,0.4186046511627907,0.5,"[[54, 0], [21, 0]]",0.523;0.795;0.545;0.705;0.880,0.423;0.423;0.423;0.423;0.400,0.500;0.500;0.500;0.500;0.500
stridor,TransMIL,0.6249090909090909,0.1546391160035103,0.4992201518288475,0.13550173699039583,0.525,0.11327214358524648,0.6164021164021165,0.512987012987013,0.5793650793650793,"[[24, 30], [6, 15]]",0.636;0.545;0.500;0.523;0.920,0.720;0.444;0.348;0.583;0.400,0.705;0.477;0.364;0.580;0.500
