target,method,mean_auc,std_auc,mean_f1,std_f1,mean_bacc,std_bacc,pooled_auc,pooled_f1,pooled_bacc,pooled_confusion,fold_aucs,fold_f1s,fold_baccs,mean_kappa,std_kappa,pooled_kappa,fold_kappas
severity,SingleTask(picture-description),0.5158019982390692,0.07741699301145047,0.28473854888116346,0.03323814751520776,0.35277777777777775,0.06770915823091903,0.5206497697978844,0.32264122368620324,0.4061032863849765,"[[51, 0, 20], [22, 0, 18], [11, 0, 11]]",0.455;0.425;0.623;0.485;0.592,0.307;0.262;0.338;0.247;0.270,0.372;0.363;0.457;0.250;0.321,0.16907445500793558,0.047329302797944374,0.18086225026288116,0.171;0.164;0.229;0.196;0.086
severity,mean-pool+LogReg,0.5660494425482984,0.0637693754801101,0.3670507617943807,0.08182889658343856,0.41087301587301583,0.0696966395685285,0.5729062392283656,0.34612661743010736,0.3720017072129748,"[[56, 4, 11], [23, 4, 13], [12, 5, 5]]",0.663;0.528;0.475;0.562;0.601,0.416;0.248;0.308;0.381;0.482,0.506;0.310;0.376;0.393;0.470,0.24725168579671458,0.16543480996606358,0.18118905316137157,0.088;0.258;0.160;0.170;0.560
severity,mean-pool+RF,0.6354421934113009,0.038640193077983456,0.336906150751818,0.10142143203823839,0.401984126984127,0.08113696664909827,0.634148951107152,0.34018759018759015,0.4075117370892019,"[[30, 41, 0], [8, 32, 0], [3, 19, 0]]",0.672;0.629;0.576;0.618;0.682,0.324;0.324;0.173;0.374;0.489,0.403;0.369;0.274;0.446;0.518,0.1775324544028744,0.11293034420068002,0.22920892494929002,0.050;0.260;0.055;0.185;0.338
severity,max-pool+LogReg,0.6391560300027119,0.019968767730567896,0.38959821574655334,0.06339785585078848,0.4288888888888889,0.08985388884398941,0.6279068761463128,0.4043405127344321,0.40521766965428935,"[[40, 19, 12], [11, 17, 12], [4, 13, 5]]",0.651;0.635;0.611;0.628;0.670,0.411;0.267;0.429;0.443;0.398,0.453;0.256;0.442;0.512;0.482,0.2654476089398092,0.05874672007277583,0.24608202734244744,0.357;0.171;0.268;0.265;0.265
severity,max-pool+RF,0.6568852354950754,0.04130087517701082,0.33657344839920533,0.025702100363657235,0.391984126984127,0.037293481050968774,0.6498147728497571,0.4114622140937931,0.4150661545027743,"[[40, 25, 6], [15, 20, 5], [7, 11, 4]]",0.655;0.706;0.583;0.657;0.683,0.379;0.330;0.310;0.313;0.351,0.428;0.393;0.371;0.333;0.435,0.18669128958210146,0.10360179586275357,0.2021772939346811,0.169;0.308;0.168;0.013;0.276
severity,mi-SVM,0.645660499979722,0.08838832636655741,0.3760828245828246,0.08329129801730893,0.41801587301587306,0.06173440132028821,0.6431810181583012,0.3575902280355721,0.4379001280409731,"[[61, 0, 10], [25, 0, 15], [12, 0, 10]]",0.741;0.520;0.603;0.752;0.613,0.463;0.335;0.283;0.488;0.312,0.456;0.400;0.348;0.518;0.369,0.19597705004922328,0.11552585732430305,0.287221570926143,0.246;0.217;0.000;0.352;0.165
severity,GatedAttention,0.6330042514481874,0.04371481656885961,0.3833327757785962,0.04357296952152357,0.4440476190476191,0.05789681179759842,0.5984107377792066,0.419504132231405,0.42871318822023047,"[[35, 26, 10], [10, 19, 11], [5, 10, 7]]",0.603;0.653;0.588;0.612;0.709,0.390;0.308;0.369;0.417;0.433,0.408;0.376;0.412;0.494;0.530,0.17725072595471253,0.06685797175096024,0.24413464807888474,0.069;0.160;0.233;0.261;0.163
severity,DSMIL,0.6569906367045956,0.053599949712082325,0.4633984315032026,0.1088747656213305,0.4768253968253968,0.09092987061808855,0.6087586047490636,0.406020382258006,0.4129534784464362,"[[36, 28, 7], [16, 22, 2], [7, 11, 4]]",0.656;0.756;0.632;0.644;0.596,0.275;0.489;0.527;0.597;0.429,0.339;0.477;0.550;0.595;0.423,0.29467852703268793,0.14967859576794146,0.13809714973906062,0.031;0.268;0.308;0.474;0.392
severity,SetTransformer,0.628096309572282,0.04715043157440435,0.30591951841245807,0.0672854830715646,0.38999999999999996,0.05305625303764447,0.5592735656229523,0.32322016903022494,0.36607981220657276,"[[62, 9, 0], [31, 9, 0], [15, 7, 0]]",0.632;0.595;0.610;0.586;0.717,0.320;0.228;0.403;0.345;0.233,0.383;0.333;0.436;0.464;0.333,0.1309240113611041,0.16340724984705088,0.11876896402254022,-0.007;0.000;0.341;0.320;0.000
severity,TransMIL,0.6265283043086247,0.04345892102614153,0.2910098509079363,0.08760762251607318,0.36047619047619045,0.049660982188509305,0.54219076889454,0.362478329393223,0.3624839948783611,"[[43, 17, 11], [18, 12, 10], [12, 6, 4]]",0.586;0.640;0.577;0.632;0.698,0.450;0.322;0.228;0.222;0.233,0.450;0.376;0.333;0.310;0.333,0.08857140083298547,0.1608361787489623,0.08116334122421387,0.186;0.353;0.000;-0.096;0.000
