target,method,mean_auc,std_auc,mean_f1,std_f1,mean_bacc,std_bacc,pooled_auc,pooled_f1,pooled_bacc,pooled_confusion,fold_aucs,fold_f1s,fold_baccs
localization,SingleTask(picture-description),0.6909115365757877,0.11973462425431176,0.39521813351310364,0.05324519302473083,0.44703703703703707,0.05834479605189694,0.6855930751683696,0.41152810304449644,0.4271734892787524,"[[71, 12, 7], [9, 11, 5], [5, 13, 1]]",0.606;0.496;0.772;0.796;0.785,0.313;0.357;0.408;0.446;0.452,0.415;0.356;0.459;0.528;0.478
localization,mean-pool+LogReg,0.7560347145250528,0.058843012172011495,0.45957423758782,0.12745528553650992,0.5218518518518519,0.11634818375387641,0.7557103353565889,0.49853746961644624,0.5123976608187134,"[[69, 17, 4], [7, 14, 4], [8, 7, 4]]",0.796;0.646;0.775;0.813;0.750,0.385;0.453;0.642;0.545;0.273,0.470;0.520;0.656;0.630;0.333
localization,mean-pool+RF,0.7934753620864733,0.0744257342311436,0.457162475467429,0.048522558474063775,0.5311111111111111,0.043499207693460884,0.7724077679078413,0.4378678437667202,0.450214424951267,"[[74, 5, 11], [10, 4, 11], [4, 8, 7]]",0.826;0.670;0.748;0.865;0.858,0.520;0.386;0.468;0.492;0.419,0.576;0.537;0.544;0.550;0.448
localization,max-pool+LogReg,0.7579102968958041,0.06149937126194018,0.42730524730524727,0.11469785944629639,0.46185185185185185,0.09935042800401828,0.75327363516833,0.4929652354968031,0.488187134502924,"[[78, 10, 2], [12, 11, 2], [11, 5, 3]]",0.835;0.657;0.728;0.768;0.801,0.273;0.378;0.432;0.626;0.429,0.333;0.393;0.478;0.628;0.478
localization,max-pool+RF,0.8030165236445429,0.06443171801992853,0.47793445116974526,0.034307224201234575,0.5844444444444445,0.04762680712793633,0.7776345088969739,0.4149591870731301,0.5159844054580897,"[[73, 0, 17], [6, 0, 19], [5, 0, 14]]",0.817;0.678;0.832;0.827;0.862,0.495;0.483;0.471;0.418;0.522,0.630;0.611;0.574;0.496;0.611
localization,mi-SVM,0.7725711799383297,0.06070655250110283,0.43794445463251624,0.05222294034194337,0.4729629629629629,0.059807647776102105,0.7683884273423037,0.46993464052287587,0.4602729044834308,"[[86, 3, 1], [15, 8, 2], [13, 4, 2]]",0.770;0.771;0.859;0.670;0.793,0.441;0.343;0.459;0.503;0.443,0.467;0.380;0.500;0.563;0.456
localization,GatedAttention,0.714236551156841,0.06561306205481739,0.42439491549465974,0.13314384808017038,0.512962962962963,0.12871635962288516,0.663350503050081,0.4046813406514646,0.45711500974658864,"[[41, 35, 14], [4, 15, 6], [2, 11, 6]]",0.707;0.620;0.683;0.819;0.742,0.452;0.256;0.644;0.321;0.449,0.593;0.291;0.674;0.481;0.526
localization,DSMIL,0.7173009076269946,0.04592765901970964,0.44841976650800186,0.06835871535643884,0.48703703703703705,0.06931964093983344,0.6778496855976753,0.36790406939660675,0.40155945419103317,"[[80, 1, 9], [20, 0, 5], [11, 2, 6]]",0.713;0.647;0.727;0.708;0.791,0.407;0.411;0.381;0.571;0.472,0.463;0.420;0.417;0.591;0.544
localization,SetTransformer,0.7510296721528605,0.06034948160792871,0.422017689476648,0.13782858664078773,0.4655555555555556,0.1492532854240621,0.6900706354654247,0.43883983321069414,0.4711890838206627,"[[52, 26, 12], [4, 13, 8], [5, 8, 6]]",0.765;0.693;0.693;0.857;0.746,0.545;0.246;0.469;0.578;0.273,0.589;0.259;0.493;0.654;0.333
localization,TransMIL,0.7074225229056147,0.07545725564879785,0.37005928597259863,0.10126529263951194,0.3948148148148148,0.0657488257939141,0.5821679478215913,0.35582223683489506,0.37516569200779726,"[[49, 3, 38], [7, 4, 14], [8, 3, 8]]",0.804;0.617;0.774;0.628;0.715,0.267;0.390;0.545;0.376;0.273,0.333;0.391;0.513;0.404;0.333
