target,method,mean_auc,std_auc,mean_f1,std_f1,mean_bacc,std_bacc,pooled_auc,pooled_f1,pooled_bacc,pooled_confusion,fold_aucs,fold_f1s,fold_baccs,mean_kappa,std_kappa,pooled_kappa,fold_kappas
severity,SingleTask(picture-description),0.5188894985004826,0.06271799339229159,0.3012465004927941,0.07240995416702262,0.35023809523809524,0.05922017796712579,0.5280651164567566,0.3299094342433026,0.36472471190781053,"[[58, 6, 7], [33, 2, 5], [16, 1, 5]]",0.564;0.476;0.477;0.457;0.620,0.352;0.228;0.266;0.243;0.418,0.417;0.333;0.263;0.321;0.417,0.05944636793951863,0.1973824058771464,0.09081383164512746,0.308;0.000;-0.231;-0.032;0.252
severity,mean-pool+LogReg,0.5535734038823283,0.02458479199333138,0.34971110445869197,0.011877460766937228,0.3896825396825397,0.01722606203994053,0.5560007717436158,0.3918304005891791,0.39537985488689714,"[[35, 26, 10], [18, 15, 7], [9, 6, 7]]",0.568;0.583;0.533;0.517;0.567,0.330;0.356;0.356;0.364;0.343,0.422;0.387;0.371;0.381;0.387,0.11029726935581123,0.11888256203499906,0.11920529801324509,0.077;0.074;0.341;0.000;0.059
severity,mean-pool+RF,0.5537822923749698,0.04340571812035876,0.336453747852328,0.06988457299762847,0.36142857142857143,0.05431807723713378,0.5565154442369344,0.39669772655565017,0.39323516858728125,"[[46, 22, 3], [21, 14, 5], [11, 7, 4]]",0.613;0.499;0.509;0.569;0.579,0.422;0.271;0.308;0.263;0.418,0.408;0.310;0.345;0.304;0.440,0.09544070572190996,0.22490023143919435,0.17391304347826075,0.213;-0.333;0.320;0.116;0.162
severity,max-pool+LogReg,0.5772976510733947,0.07915882092990434,0.34557082756474233,0.08231845838746377,0.39634920634920634,0.09515684364731801,0.5772351602769594,0.370937093709371,0.3837067861715749,"[[38, 28, 5], [15, 21, 4], [8, 12, 2]]",0.608;0.423;0.589;0.627;0.639,0.421;0.326;0.215;0.320;0.446,0.547;0.363;0.280;0.333;0.458,0.08771555015619578,0.010210371174828677,0.13388090349075976,0.097;0.080;0.095;0.071;0.095
severity,max-pool+RF,0.5817503424196788,0.0516122154517033,0.30789255273259397,0.07904218912368514,0.3873809523809524,0.05230297225807995,0.574917247179855,0.3158971311440112,0.3705719163465642,"[[16, 46, 9], [8, 30, 2], [2, 17, 3]]",0.596;0.481;0.599;0.630;0.602,0.261;0.337;0.201;0.437;0.303,0.358;0.388;0.357;0.488;0.345,0.15627793004834398,0.12623442275098057,0.05765154726579058,0.072;0.211;0.069;0.381;0.049
severity,mi-SVM,0.5259291570790426,0.07408252801986809,0.3341107933856882,0.08494159217546508,0.3599206349206349,0.08527370601933286,0.5390113948155748,0.3497181964573269,0.3659731113956466,"[[41, 25, 5], [19, 19, 2], [13, 8, 1]]",0.522;0.567;0.532;0.393;0.616,0.390;0.410;0.272;0.197;0.402,0.447;0.406;0.327;0.208;0.411,0.05138874774528601,0.15592382961860218,0.0008347245409014992,0.212;-0.021;0.025;-0.189;0.230
severity,GatedAttention,0.5965468072905145,0.07397658194215136,0.3696437479788667,0.10925408601883758,0.41730158730158723,0.11165417174935749,0.5779483254267443,0.4076113360323887,0.4073196756295348,"[[49, 16, 6], [20, 14, 6], [10, 8, 4]]",0.606;0.464;0.593;0.631;0.689,0.326;0.228;0.325;0.417;0.553,0.347;0.333;0.317;0.482;0.607,0.22983661112621379,0.13698898044534594,0.19479553903345737,0.159;0.000;0.289;0.311;0.391
severity,DSMIL,0.5872071351819637,0.0626198631952193,0.3651228847110505,0.1035463756277209,0.39595238095238094,0.09216961590045872,0.5792809258393085,0.3800806033815743,0.39008749466495946,"[[30, 29, 12], [9, 19, 12], [1, 15, 6]]",0.659;0.517;0.507;0.620;0.633,0.395;0.268;0.290;0.554;0.319,0.425;0.363;0.275;0.554;0.363,0.23884252824584723,0.10455125221242745,0.24822455191072046,0.092;0.215;0.351;0.364;0.172
severity,SetTransformer,0.5441252412305044,0.10272147000811574,0.22608336559556075,0.011853748651590605,0.319047619047619,0.028571428571428557,0.4984316562235689,0.25628259838786155,0.3183952198036705,"[[42, 0, 29], [25, 0, 15], [14, 0, 8]]",0.694;0.484;0.595;0.389;0.558,0.238;0.228;0.228;0.204;0.233,0.333;0.333;0.333;0.262;0.333,-0.038775510204081653,0.07755102040816331,-0.03600823045267498,0.000;0.000;0.000;-0.194;0.000
severity,TransMIL,0.5168757695817192,0.07386794278775685,0.26284141726866184,0.019342409974934867,0.3192857142857143,0.040282449490584,0.5016659063342389,0.2841555977229601,0.29113316261203587,"[[37, 13, 21], [21, 5, 14], [7, 10, 5]]",0.642;0.431;0.510;0.458;0.543,0.238;0.250;0.269;0.263;0.295,0.333;0.257;0.304;0.321;0.381,0.058524522613923644,0.08980288671308591,0.05334114888628361,0.000;0.168;0.122;-0.083;0.086
