target,method,mean_auc,std_auc,mean_f1,std_f1,mean_bacc,std_bacc,pooled_auc,pooled_f1,pooled_bacc,pooled_confusion,fold_aucs,fold_f1s,fold_baccs
stridor,SingleTask(picture-description),0.6461818181818182,0.05482172459530354,0.5520413048162409,0.15756554453547547,0.6036363636363637,0.1301508978007724,0.6499118165784833,0.6693121693121693,0.6693121693121693,"[[44, 10], [10, 11]]",0.682;0.705;0.659;0.545;0.640,0.375;0.762;0.389;0.534;0.700,0.409;0.784;0.591;0.534;0.700
stridor,mean-pool+LogReg,0.7136363636363636,0.15320272314866107,0.6976887211440987,0.13717838174689867,0.7172727272727274,0.15299084399763085,0.7257495590828924,0.7228863290589003,0.7261904761904763,"[[45, 9], [8, 13]]",0.705;0.545;0.636;0.682;1.000,0.534;0.583;0.722;0.720;0.928,0.534;0.580;0.818;0.705;0.950
stridor,mean-pool+RF,0.746,0.15322278923350754,0.6904761904761905,0.1331584264727184,0.7050000000000001,0.1197052164401168,0.7380952380952381,0.710548885077187,0.716931216931217,"[[44, 10], [8, 13]]",0.545;0.795;0.795;0.614;0.980,0.603;0.762;0.583;0.583;0.921,0.614;0.784;0.648;0.580;0.900
stridor,max-pool+LogReg,0.7140000000000001,0.11406334328342184,0.6246666666666667,0.15198830364355162,0.67,0.130916982085393,0.7134038800705467,0.6783876500857633,0.6838624338624338,"[[43, 11], [9, 12]]",0.500;0.750;0.795;0.705;0.820,0.400;0.700;0.533;0.640;0.850,0.455;0.739;0.682;0.625;0.850
stridor,max-pool+RF,0.7385454545454545,0.10595898161611395,0.6282608695652174,0.10928135601781576,0.6636363636363637,0.09817550484752353,0.746031746031746,0.6880570409982174,0.7182539682539683,"[[39, 15], [6, 15]]",0.636;0.659;0.795;0.682;0.920,0.534;0.762;0.533;0.550;0.762,0.534;0.784;0.682;0.568;0.750
stridor,mi-SVM,0.5550909090909091,0.2136062648042804,0.5555555555555556,0.16197088596792505,0.5618181818181818,0.17714680842605435,0.5758377425044092,0.5668745668745668,0.5648148148148148,"[[43, 11], [14, 7]]",0.455;0.455;0.477;0.409;0.980,0.444;0.444;0.444;0.583;0.861,0.443;0.443;0.443;0.580;0.900
stridor,GatedAttention,0.7027272727272726,0.12973590466280988,0.6328747847626566,0.16459719698303704,0.6463636363636363,0.1324717340815712,0.6763668430335097,0.643668663499277,0.656084656084656,"[[40, 14], [9, 12]]",0.614;0.705;0.773;0.523;0.900,0.423;0.792;0.720;0.444;0.785,0.500;0.750;0.705;0.477;0.800
stridor,DSMIL,0.718,0.10983142605265735,0.6295215311004785,0.1603911395427654,0.6609090909090909,0.1479990507005517,0.6878306878306879,0.6111111111111112,0.6679894179894179,"[[31, 23], [5, 16]]",0.636;0.795;0.773;0.545;0.840,0.400;0.700;0.700;0.498;0.850,0.455;0.739;0.739;0.523;0.850
stridor,SetTransformer,0.7067272727272726,0.13048871899564332,0.46272283272283266,0.07322143466212079,0.5340909090909092,0.04545454545454546,0.566137566137566,0.5133139404788544,0.5132275132275133,"[[40, 14], [15, 6]]",0.545;0.682;0.773;0.614;0.920,0.423;0.603;0.423;0.464;0.400,0.500;0.614;0.500;0.557;0.500
stridor,TransMIL,0.7538181818181819,0.07825873594728011,0.4718950640003271,0.16288554762422866,0.5690909090909091,0.11678899529273984,0.626984126984127,0.5418233082706767,0.5410052910052909,"[[43, 11], [15, 6]]",0.818;0.727;0.727;0.636;0.860,0.423;0.423;0.306;0.423;0.785,0.500;0.500;0.545;0.500;0.800
