target,method,mean_auc,std_auc,mean_f1,std_f1,mean_bacc,std_bacc,pooled_auc,pooled_f1,pooled_bacc,pooled_confusion,fold_aucs,fold_f1s,fold_baccs,mean_kappa,std_kappa,pooled_kappa,fold_kappas
severity,SingleTask(picture-description),0.48331397202678666,0.04882490283675727,0.2972515289527174,0.07971249786731337,0.33547619047619043,0.07479526098463482,0.4896758515568147,0.36406656977783364,0.4008215962441315,"[[41, 13, 17], [23, 5, 12], [8, 3, 11]]",0.518;0.481;0.517;0.389;0.511,0.310;0.412;0.171;0.262;0.331,0.300;0.467;0.274;0.268;0.369,0.10815562214522798,0.1540159945600648,0.16768204235567163,0.100;0.375;0.000;-0.077;0.143
severity,mean-pool+LogReg,0.5216377151960676,0.07796350105593558,0.28647602475100487,0.07885685261115853,0.31436507936507935,0.08233085610185956,0.5225440363332231,0.3595814876930812,0.36143832693128464,"[[36, 24, 11], [15, 14, 11], [12, 5, 5]]",0.423;0.660;0.530;0.510;0.485,0.220;0.374;0.221;0.392;0.226,0.236;0.443;0.256;0.381;0.256,-0.013824216673239565,0.17613192816339093,0.06054490413723501,-0.021;0.308;-0.130;-0.016;-0.209
severity,mean-pool+RF,0.5137434275191712,0.07184999868154314,0.30969119723797334,0.06403269183023715,0.35198412698412695,0.0917828920297098,0.5235818776936451,0.3485457659912489,0.38403755868544603,"[[25, 20, 26], [9, 12, 19], [2, 9, 11]]",0.650;0.519;0.471;0.446;0.483,0.407;0.365;0.250;0.255;0.271,0.486;0.438;0.270;0.298;0.268,0.13126987594150635,0.1446020448469712,0.15388669301712787,0.155;0.339;0.054;-0.092;0.201
severity,max-pool+LogReg,0.5973083518735692,0.039430257124005726,0.37823811703871674,0.07451859672995242,0.40714285714285714,0.07826781164780354,0.5879500612917242,0.3962462908992381,0.39688433632095604,"[[40, 22, 9], [17, 16, 7], [10, 7, 5]]",0.589;0.659;0.608;0.595;0.535,0.312;0.491;0.284;0.383;0.422,0.358;0.546;0.315;0.393;0.423,0.1205212959841003,0.24326452626384984,0.12307692307692308,-0.243;0.518;0.083;0.076;0.169
severity,max-pool+RF,0.5628805369137176,0.05149465260163358,0.3115134635226487,0.09802240305537845,0.35507936507936505,0.08996738022001813,0.5611390003030167,0.29901960784313725,0.36427656850192064,"[[55, 0, 16], [29, 0, 11], [15, 0, 7]]",0.649;0.591;0.538;0.530;0.506,0.486;0.320;0.307;0.196;0.248,0.511;0.345;0.371;0.238;0.310,0.07614551212068073,0.161245452476503,0.0791962174940899,0.133;0.286;0.036;-0.204;0.130
severity,mi-SVM,0.5649975884358036,0.13136400306319432,0.32882841015193953,0.06384173936691337,0.3653174603174604,0.07967542496536456,0.5653086019396788,0.3284422296050203,0.3473111395646607,"[[53, 17, 1], [30, 10, 0], [18, 3, 1]]",0.358;0.716;0.504;0.695;0.551,0.241;0.389;0.266;0.396;0.353,0.261;0.429;0.298;0.476;0.363,0.06175233708303403,0.17538214920477507,-0.0239520958083832,-0.174;0.053;0.000;0.369;0.061
severity,GatedAttention,0.4714042538527664,0.06764201070652609,0.2542116149381596,0.050224397888695524,0.3067460317460317,0.03761687087667959,0.4891253392502824,0.313609022959827,0.31718950064020485,"[[39, 20, 12], [26, 7, 7], [10, 7, 5]]",0.415;0.516;0.544;0.368;0.513,0.273;0.277;0.185;0.211;0.325,0.319;0.304;0.256;0.286;0.369,-0.04666946929031892,0.17216469675981685,0.041581458759372913,-0.269;0.200;0.091;-0.182;-0.073
severity,DSMIL,0.54412479651038,0.08423942367623524,0.3594447252094311,0.11149857892818506,0.3957936507936508,0.11520261599098582,0.5297038467983493,0.3580246913580247,0.36704011950490817,"[[38, 25, 8], [17, 19, 4], [9, 11, 2]]",0.645;0.592;0.594;0.423;0.467,0.537;0.271;0.437;0.239;0.313,0.594;0.304;0.450;0.280;0.351,0.030611712104379674,0.18015326118119943,0.06826206355433506,0.265;0.022;0.198;-0.134;-0.198
severity,SetTransformer,0.5131626357370064,0.09502614969289865,0.2099501285549857,0.03118559874897204,0.27380952380952384,0.04994327848429292,0.4936780467221176,0.3079170318434122,0.3804950917626974,"[[52, 0, 19], [27, 0, 13], [13, 0, 9]]",0.644;0.580;0.492;0.363;0.488,0.238;0.233;0.225;0.201;0.153,0.333;0.333;0.250;0.214;0.238,-0.09594949652753124,0.10199362314585267,0.10837988826815648,0.000;0.045;-0.216;-0.182;-0.127
severity,TransMIL,0.5038888148041465,0.07730752126566585,0.268334100098806,0.0453169073794246,0.31880952380952376,0.02244166031990131,0.5191982511609954,0.2447270633799131,0.32031583440034145,"[[65, 0, 6], [36, 0, 4], [21, 0, 1]]",0.526;0.552;0.610;0.401;0.431,0.311;0.205;0.233;0.267;0.325,0.350;0.286;0.333;0.304;0.321,0.02867308525889687,0.06486084257454781,-0.0262773722627736,0.088;-0.098;0.045;0.057;0.050
