target,method,mean_auc,std_auc,mean_f1,std_f1,mean_bacc,std_bacc,pooled_auc,pooled_f1,pooled_bacc,pooled_confusion,fold_aucs,fold_f1s,fold_baccs
stridor,SingleTask(picture-description),0.750909090909091,0.09024301442711545,0.5708275058275059,0.10316780106778282,0.5854545454545456,0.0839691993904967,0.7389770723104057,0.6086956521739131,0.6018518518518519,"[[47, 7], [14, 7]]",0.750;0.591;0.750;0.864;0.800,0.423;0.489;0.583;0.659;0.700,0.500;0.489;0.580;0.659;0.700
stridor,mean-pool+LogReg,0.6781818181818181,0.14043615648965468,0.5206851971557855,0.08691467066030013,0.5609090909090909,0.06582910507047901,0.6604938271604939,0.64,0.6613756613756614,"[[38, 16], [8, 13]]",0.432;0.795;0.750;0.614;0.800,0.389;0.583;0.583;0.603;0.444,0.432;0.580;0.580;0.614;0.600
stridor,mean-pool+RF,0.67,0.06149648918286457,0.5580808080808082,0.0968196440034385,0.5786363636363637,0.0943836027221356,0.6684303350970018,0.6173469387755102,0.6428571428571428,"[[36, 18], [8, 13]]",0.591;0.727;0.705;0.727;0.600,0.444;0.659;0.583;0.659;0.444,0.477;0.659;0.648;0.659;0.450
stridor,max-pool+LogReg,0.6185454545454545,0.10375846077220975,0.5902777777777778,0.008648609014961624,0.6104545454545456,0.046678963354328126,0.6040564373897708,0.614007607965988,0.6124338624338624,"[[43, 11], [12, 9]]",0.568;0.591;0.591;0.523;0.820,0.603;0.583;0.583;0.583;0.598,0.614;0.580;0.580;0.580;0.700
stridor,max-pool+RF,0.7061818181818181,0.13685656362872944,0.6876818198328495,0.1297009182218653,0.7059090909090908,0.12648783954878431,0.691358024691358,0.6173469387755102,0.6428571428571428,"[[36, 18], [8, 13]]",0.523;0.705;0.727;0.636;0.940,0.603;0.720;0.583;0.603;0.928,0.614;0.705;0.648;0.614;0.950
stridor,mi-SVM,0.6450909090909092,0.09256956285379202,0.5984848484848484,0.09292105804532376,0.615909090909091,0.10199457123780399,0.6472663139329806,0.592391304347826,0.5992063492063492,"[[39, 15], [11, 10]]",0.500;0.682;0.591;0.773;0.680,0.444;0.583;0.583;0.659;0.722,0.443;0.580;0.648;0.659;0.750
stridor,GatedAttention,0.7043636363636363,0.1323349119681569,0.6605797101449276,0.09154523324138716,0.6590909090909091,0.07606000241218873,0.6349206349206349,0.5614035087719298,0.5965608465608465,"[[31, 23], [8, 13]]",0.477;0.636;0.795;0.773;0.840,0.550;0.720;0.720;0.550;0.762,0.568;0.705;0.705;0.568;0.750
stridor,DSMIL,0.6798181818181819,0.10440448994493078,0.6341991341991343,0.05075438351647389,0.6540909090909091,0.08610487551106995,0.6701940035273368,0.6349206349206349,0.6415343915343916,"[[41, 13], [10, 11]]",0.477;0.705;0.773;0.705;0.740,0.659;0.603;0.722;0.583;0.603,0.659;0.614;0.818;0.580;0.600
stridor,SetTransformer,0.6547272727272728,0.13591489802127005,0.4184615384615385,0.00923076923076922,0.5,0.0,0.5308641975308641,0.48830409356725146,0.4933862433862434,"[[43, 11], [17, 4]]",0.409;0.659;0.727;0.818;0.660,0.423;0.423;0.423;0.423;0.400,0.500;0.500;0.500;0.500;0.500
stridor,TransMIL,0.6314545454545455,0.10085026950635348,0.5624287992709045,0.11926037192407991,0.6231818181818182,0.08030674662641368,0.5776014109347443,0.5610367892976589,0.5661375661375662,"[[38, 16], [12, 9]]",0.500;0.614;0.568;0.795;0.680,0.659;0.330;0.641;0.583;0.598,0.659;0.466;0.693;0.648;0.650
