target,method,mean_auc,std_auc,mean_f1,std_f1,mean_bacc,std_bacc,pooled_auc,pooled_f1,pooled_bacc,pooled_confusion,fold_aucs,fold_f1s,fold_baccs
localization,SingleTask(picture-description),0.771698954114413,0.08552473838722088,0.43684724380819456,0.08765184230403379,0.4525925925925926,0.0941250955254854,0.7576733005108292,0.5007553357406184,0.5261988304093568,"[[75, 12, 3], [6, 16, 3], [8, 9, 2]]",0.810;0.748;0.800;0.878;0.622,0.374;0.498;0.535;0.478;0.298,0.411;0.554;0.513;0.496;0.289
localization,mean-pool+LogReg,0.764787575548445,0.03442571174177183,0.46533746289843847,0.10842309944102345,0.5307407407407407,0.11000436454740668,0.7698660489951191,0.4623282000331181,0.5251851851851851,"[[77, 13, 0], [7, 18, 0], [9, 10, 0]]",0.772;0.731;0.721;0.812;0.788,0.410;0.400;0.350;0.655;0.511,0.509;0.459;0.381;0.693;0.611
localization,mean-pool+RF,0.821108799055659,0.06501848462902937,0.45331853331853333,0.07455384425605044,0.5085185185185185,0.10442605564414321,0.8105277072504625,0.5154684095860567,0.5190643274853801,"[[78, 9, 3], [5, 12, 8], [7, 8, 4]]",0.832;0.702;0.894;0.820;0.858,0.365;0.441;0.384;0.553;0.524,0.381;0.515;0.400;0.635;0.611
localization,max-pool+LogReg,0.8179080894056738,0.06110778247324393,0.4712195484254308,0.08668466900570322,0.5618518518518518,0.05069611446598125,0.818933426950348,0.4600189933523267,0.4977777777777778,"[[84, 6, 0], [11, 14, 0], [10, 9, 0]]",0.796;0.709;0.877;0.862;0.846,0.419;0.343;0.592;0.534;0.467,0.507;0.500;0.598;0.630;0.574
localization,max-pool+RF,0.8355311918355397,0.07921736957990995,0.5301193084526418,0.05359225681676869,0.5944444444444443,0.057924789228214375,0.8342053524276983,0.4213564213564213,0.5074074074074074,"[[65, 25, 0], [5, 20, 0], [5, 14, 0]]",0.831;0.695;0.939;0.854;0.859,0.523;0.444;0.581;0.593;0.511,0.572;0.515;0.667;0.656;0.563
localization,mi-SVM,0.8019211728511244,0.08066446023792291,0.47961029276818756,0.10588915074341694,0.5055555555555555,0.10994449279158507,0.8071774293364368,0.4980806893850372,0.49239766081871345,"[[78, 5, 7], [8, 10, 7], [9, 6, 4]]",0.784;0.668;0.896;0.873;0.789,0.520;0.299;0.545;0.603;0.432,0.530;0.324;0.630;0.596;0.448
localization,GatedAttention,0.8363683476123089,0.051577068264792206,0.4392064792064792,0.08913491524784602,0.4922222222222222,0.09672553904723434,0.7995502742948842,0.5005416531253385,0.5762962962962962,"[[80, 10, 0], [4, 21, 0], [7, 12, 0]]",0.828;0.739;0.876;0.875;0.864,0.521;0.402;0.286;0.527;0.461,0.513;0.459;0.333;0.630;0.526
localization,DSMIL,0.8093155386392101,0.04818609611174945,0.43995583134902017,0.09647810319150574,0.4951851851851852,0.08680109865101546,0.7861996019509717,0.4674595936565841,0.5048343079922027,"[[59, 6, 25], [1, 7, 17], [3, 5, 11]]",0.773;0.745;0.853;0.873;0.803,0.327;0.407;0.609;0.471;0.384,0.343;0.483;0.598;0.496;0.556
localization,SetTransformer,0.7990923265319401,0.06434401662085919,0.4078829663769243,0.04042390381590705,0.4351851851851851,0.040673344928273625,0.7729886744194051,0.4413236489461876,0.44401559454191036,"[[71, 13, 6], [7, 7, 11], [5, 9, 5]]",0.810;0.674;0.835;0.856;0.820,0.450;0.336;0.402;0.442;0.409,0.457;0.374;0.430;0.496;0.419
localization,TransMIL,0.8199817533513185,0.05977043202306421,0.45727834944553214,0.10719876094163258,0.5192592592592593,0.10163681002601065,0.7684882668771987,0.37969405205331835,0.44077972709551655,"[[40, 46, 4], [2, 18, 5], [3, 13, 3]]",0.793;0.723;0.860;0.898;0.825,0.366;0.450;0.627;0.516;0.328,0.500;0.531;0.617;0.611;0.337
