target,method,mean_auc,std_auc,mean_f1,std_f1,mean_bacc,std_bacc,pooled_auc,pooled_f1,pooled_bacc,pooled_confusion,fold_aucs,fold_f1s,fold_baccs
stridor,SingleTask(picture-description),0.7707272727272727,0.017706514653003408,0.6497460317460317,0.05376390818317855,0.6859090909090908,0.08102392259732828,0.781305114638448,0.717809364548495,0.7314814814814814,"[[43, 11], [7, 14]]",0.773;0.795;0.773;0.773;0.740,0.640;0.700;0.722;0.583;0.603,0.625;0.739;0.818;0.648;0.600
stridor,mean-pool+LogReg,0.6790909090909091,0.12443591732559034,0.5841881977671451,0.15347870940746583,0.6477272727272727,0.14658650451451913,0.6887125220458554,0.625,0.6216931216931216,"[[44, 10], [12, 9]]",0.682;0.864;0.750;0.500;0.600,0.498;0.850;0.533;0.640;0.400,0.523;0.909;0.682;0.625;0.500
stridor,mean-pool+RF,0.7525454545454545,0.08075757007220398,0.5573818501759679,0.08972194150023498,0.6431818181818183,0.09685125342119326,0.7336860670194003,0.6467817896389325,0.6759259259259259,"[[37, 17], [7, 14]]",0.705;0.864;0.818;0.636;0.740,0.525;0.598;0.661;0.603;0.400,0.602;0.727;0.773;0.614;0.500
stridor,max-pool+LogReg,0.6734545454545453,0.14399426067534085,0.5617267420588863,0.11149401274849144,0.5972727272727274,0.11076742069581338,0.6701940035273368,0.6173469387755102,0.6428571428571428,"[[36, 18], [8, 13]]",0.523;0.864;0.818;0.523;0.640,0.389;0.720;0.598;0.498;0.603,0.432;0.705;0.727;0.523;0.600
stridor,max-pool+RF,0.7441818181818182,0.1361326528557852,0.5331447195062756,0.11077156336298608,0.595,0.07204796382208933,0.716931216931217,0.6173469387755102,0.6428571428571428,"[[36, 18], [8, 13]]",0.591;0.864;0.818;0.568;0.880,0.498;0.720;0.464;0.400;0.583,0.523;0.705;0.636;0.511;0.600
stridor,mi-SVM,0.7690909090909092,0.09497281037614817,0.6192282695991136,0.1403856813028149,0.6322727272727273,0.10186687147513776,0.746031746031746,0.6591724467830662,0.6494708994708994,"[[47, 7], [12, 9]]",0.841;0.886;0.682;0.636;0.800,0.400;0.792;0.525;0.720;0.659,0.455;0.750;0.602;0.705;0.650
stridor,GatedAttention,0.7572727272727272,0.1534883633568044,0.6503151818941293,0.2016981084070249,0.6868181818181818,0.18828499586908537,0.6190476190476191,0.4619799139167862,0.5277777777777778,"[[21, 33], [7, 14]]",0.795;0.932;0.614;0.545;0.900,0.583;0.850;0.400;0.498;0.921,0.648;0.909;0.455;0.523;0.900
stridor,DSMIL,0.7556363636363637,0.16485345357930725,0.708900660742766,0.14170699437017228,0.725909090909091,0.13879350259877576,0.693121693121693,0.6126833298905185,0.623015873015873,"[[39, 15], [10, 11]]",0.727;0.932;0.568;0.591;0.960,0.603;0.921;0.641;0.550;0.830,0.614;0.955;0.693;0.568;0.800
stridor,SetTransformer,0.7063636363636363,0.10170448197052362,0.4438461538461539,0.05382417133703356,0.5136363636363637,0.027272727272727247,0.5740740740740741,0.48057813911472447,0.5105820105820106,"[[50, 4], [19, 2]]",0.727;0.864;0.750;0.591;0.600,0.423;0.423;0.423;0.550;0.400,0.500;0.500;0.500;0.568;0.500
stridor,TransMIL,0.6687272727272726,0.18938665682968261,0.4782905982905983,0.12229284911753646,0.5636363636363637,0.12727272727272726,0.5599647266313933,0.48830409356725146,0.4933862433862434,"[[43, 11], [17, 4]]",0.523;1.000;0.750;0.591;0.480,0.423;0.722;0.423;0.423;0.400,0.500;0.818;0.500;0.500;0.500
