target,method,mean_auc,std_auc,mean_f1,std_f1,mean_bacc,std_bacc,pooled_auc,pooled_f1,pooled_bacc,pooled_confusion,fold_aucs,fold_f1s,fold_baccs,mean_kappa,std_kappa,pooled_kappa,fold_kappas
severity,SingleTask(picture-description),0.4646625909898221,0.11002043349461263,0.31605247607698395,0.12402466767123406,0.33547619047619043,0.12308257280334672,0.4697693718252555,0.3168712630070944,0.3344430217669654,"[[48, 11, 12], [26, 4, 10], [11, 6, 5]]",0.397;0.318;0.649;0.486;0.473,0.249;0.184;0.548;0.282;0.317,0.258;0.190;0.556;0.345;0.327,0.09251625736751592,0.11080417744198648,0.10638987998702565,-0.020;0.087;0.303;0.037;0.055
severity,mean-pool+LogReg,0.5881687856172982,0.06778902126964303,0.336078414540736,0.05772675809214957,0.38063492063492055,0.07166512856722798,0.5907140309116684,0.38295306687191893,0.38234101579172003,"[[39, 25, 7], [15, 13, 12], [4, 12, 6]]",0.677;0.576;0.530;0.654;0.504,0.355;0.324;0.269;0.437;0.296,0.472;0.317;0.323;0.464;0.327,0.20370056499095196,0.10809627788446013,0.2879944482997918,0.331;0.258;0.214;0.209;0.006
severity,mean-pool+RF,0.6143240091123385,0.0493706994304889,0.3348727900452038,0.058596846792399696,0.39349206349206345,0.045904723484582945,0.6174793634243884,0.4228053895952377,0.42810499359795134,"[[36, 30, 5], [12, 22, 6], [3, 14, 5]]",0.692;0.568;0.633;0.624;0.554,0.294;0.437;0.271;0.313;0.360,0.381;0.480;0.345;0.369;0.393,0.20448955741988445,0.07197137237049749,0.29960784313725475,0.126;0.336;0.190;0.158;0.211
severity,max-pool+LogReg,0.6314573743063445,0.04281815674341891,0.4000291711683902,0.06723830973450086,0.42706349206349203,0.055529699198458696,0.6327449625495968,0.3938407271740605,0.39217883055911223,"[[44, 21, 6], [17, 15, 8], [3, 15, 4]]",0.667;0.678;0.558;0.639;0.615,0.289;0.495;0.385;0.400;0.431,0.381;0.527;0.382;0.399;0.446,0.3432725531036744,0.1378854457863038,0.3125699365908243,0.197;0.596;0.323;0.353;0.247
severity,max-pool+RF,0.6491861867262324,0.061302331088886164,0.31698710331063273,0.06352430399976343,0.3773015873015873,0.036022829468024015,0.6391551478784555,0.3497267759562841,0.4059859154929577,"[[35, 36, 0], [11, 29, 0], [5, 17, 0]]",0.695;0.684;0.531;0.649;0.687,0.289;0.362;0.224;0.409;0.301,0.381;0.417;0.339;0.417;0.333,0.18879874309690084,0.08870062641853582,0.21068249258160243,0.197;0.354;0.100;0.159;0.133
severity,mi-SVM,0.6712916048270738,0.030466152687511794,0.4324621749079953,0.06989643614974304,0.45087301587301587,0.06228535831492215,0.6671025585496281,0.47305443094916777,0.4838454972257789,"[[44, 17, 10], [11, 26, 3], [6, 12, 4]]",0.662;0.677;0.661;0.632;0.725,0.320;0.481;0.468;0.385;0.509,0.347;0.489;0.501;0.411;0.506,0.1420519435959477,0.1586373098728137,0.22787694644891754,-0.030;0.357;0.061;0.015;0.307
severity,GatedAttention,0.6012803911488123,0.0684650577257557,0.2114808362369338,0.04336707698264006,0.31666666666666665,0.03333333333333333,0.5072309257338788,0.14901960784313725,0.31666666666666665,"[[0, 70, 1], [0, 38, 2], [0, 22, 0]]",0.613;0.680;0.478;0.644;0.591,0.238;0.228;0.125;0.233;0.233,0.333;0.333;0.250;0.333;0.333,0.0,0.0,0.002143622722400873,0.000;0.000;0.000;0.000;0.000
severity,DSMIL,0.5978670329585662,0.11658116700263249,0.22585626756888688,0.05549477441462547,0.3026190476190476,0.05566746099070738,0.5278631322247859,0.30198604401502954,0.3212548015364917,"[[51, 17, 3], [31, 8, 1], [17, 4, 1]]",0.672;0.738;0.414;0.518;0.648,0.238;0.228;0.129;0.302;0.233,0.333;0.333;0.192;0.321;0.333,-0.022363838076317765,0.034277548308965386,-0.04120313143798926,0.000;0.000;-0.088;-0.023;0.000
severity,SetTransformer,0.501414941529358,0.0658960731798115,0.23200929152148664,0.0039670281290288935,0.3333333333333333,0.0,0.5062971990618514,0.2905247772437249,0.3295774647887324,"[[56, 15, 0], [32, 8, 0], [18, 4, 0]]",0.558;0.523;0.377;0.551;0.499,0.238;0.228;0.228;0.233;0.233,0.333;0.333;0.333;0.333;0.333,0.0,0.0,-0.017414018284719335,0.000;0.000;0.000;0.000;0.000
severity,TransMIL,0.4486402389033969,0.03481620828849358,0.24070708021927537,0.01847636048887847,0.33214285714285713,0.002380952380952372,0.48212437996627006,0.2905247772437249,0.3295774647887324,"[[56, 15, 0], [32, 8, 0], [18, 4, 0]]",0.498;0.472;0.406;0.454;0.414,0.238;0.228;0.228;0.277;0.233,0.333;0.333;0.333;0.327;0.333,-0.01452145214521452,0.029042904290429043,-0.017414018284719335,0.000;0.000;0.000;-0.073;0.000
