target,method,mean_auc,std_auc,mean_f1,std_f1,mean_bacc,std_bacc,pooled_auc,pooled_f1,pooled_bacc,pooled_confusion,fold_aucs,fold_f1s,fold_baccs
stridor,SingleTask(picture-description),0.7776363636363637,0.06190261613451823,0.6858278436539307,0.18449368326876145,0.72,0.19646882704388502,0.7742504409171076,0.6783876500857633,0.6838624338624338,"[[43, 11], [9, 12]]",0.841;0.818;0.727;0.682;0.820,0.722;0.850;0.348;0.659;0.850,0.818;0.909;0.364;0.659;0.850
stridor,mean-pool+LogReg,0.7036363636363637,0.08978394636455556,0.5598181818181819,0.13192334363197938,0.5840909090909092,0.12081848963638195,0.7001763668430334,0.597953216374269,0.5925925925925926,"[[46, 8], [14, 7]]",0.705;0.864;0.591;0.659;0.700,0.659;0.700;0.400;0.640;0.400,0.659;0.739;0.398;0.625;0.500
stridor,mean-pool+RF,0.731090909090909,0.0958673325723912,0.5518181818181818,0.08588864595586679,0.6272727272727273,0.06484246644403231,0.7134038800705467,0.6173469387755102,0.6428571428571428,"[[36, 18], [8, 13]]",0.659;0.795;0.750;0.591;0.860,0.583;0.583;0.533;0.659;0.400,0.648;0.648;0.682;0.659;0.500
stridor,max-pool+LogReg,0.7309090909090908,0.0833889621488627,0.6893417040475864,0.06276119260893809,0.7081818181818182,0.067734898899501,0.7336860670194003,0.6936274509803921,0.712962962962963,"[[41, 13], [7, 14]]",0.636;0.841;0.818;0.659;0.700,0.603;0.762;0.762;0.659;0.661,0.614;0.784;0.784;0.659;0.700
stridor,max-pool+RF,0.73,0.13356522534510099,0.6378138528138528,0.09805295782921526,0.6418181818181818,0.081026472564208,0.6984126984126984,0.6237458193979933,0.6322751322751323,"[[40, 14], [10, 11]]",0.523;0.841;0.727;0.659;0.900,0.550;0.603;0.603;0.603;0.830,0.568;0.614;0.614;0.614;0.800
stridor,mi-SVM,0.699090909090909,0.12886664258157704,0.6047110860154339,0.10895269047092299,0.5963636363636364,0.09504892172276946,0.693121693121693,0.5770676691729323,0.5740740740740741,"[[44, 10], [14, 7]]",0.523;0.841;0.841;0.591;0.700,0.489;0.792;0.659;0.534;0.550,0.489;0.750;0.659;0.534;0.550
stridor,GatedAttention,0.6269090909090907,0.1351541513535532,0.5052913752913752,0.1462141600120219,0.5477272727272727,0.10123207932418221,0.6234567901234569,0.5668745668745668,0.5648148148148148,"[[43, 11], [14, 7]]",0.568;0.864;0.545;0.477;0.680,0.792;0.423;0.489;0.423;0.400,0.750;0.500;0.489;0.500;0.500
stridor,DSMIL,0.5780000000000001,0.12198956736317475,0.42273504273504275,0.014060803229182064,0.4954545454545455,0.009090909090909084,0.5582010582010581,0.5098039215686274,0.5198412698412699,"[[33, 21], [12, 9]]",0.727;0.364;0.614;0.545;0.640,0.423;0.423;0.423;0.444;0.400,0.500;0.500;0.500;0.477;0.500
stridor,SetTransformer,0.5647272727272726,0.14249187304649172,0.4184615384615385,0.00923076923076922,0.5,0.0,0.5388007054673721,0.4186046511627907,0.5,"[[54, 0], [21, 0]]",0.659;0.409;0.795;0.500;0.460,0.423;0.423;0.423;0.423;0.400,0.500;0.500;0.500;0.500;0.500
stridor,TransMIL,0.614,0.18292987411293762,0.46566433566433574,0.09712539052014742,0.5118181818181818,0.08320044500834584,0.5432098765432098,0.49760765550239233,0.5158730158730158,"[[30, 24], [11, 10]]",0.773;0.750;0.750;0.477;0.320,0.659;0.423;0.423;0.423;0.400,0.659;0.500;0.500;0.500;0.400
