target,method,mean_auc,std_auc,mean_f1,std_f1,mean_bacc,std_bacc,pooled_auc,pooled_f1,pooled_bacc,pooled_confusion,fold_aucs,fold_f1s,fold_baccs
stridor,SingleTask(picture-description),0.7658181818181818,0.12511495540548176,0.633760917445128,0.09917971094409196,0.650909090909091,0.10279764283241531,0.7583774250440918,0.6746539971080355,0.6891534391534392,"[[41, 13], [8, 13]]",0.909;0.705;0.614;0.682;0.920,0.583;0.700;0.603;0.498;0.785,0.580;0.739;0.614;0.523;0.800
stridor,mean-pool+LogReg,0.8145454545454545,0.059710043176992855,0.6708532695374801,0.08336194498255069,0.6950000000000001,0.07539702078863365,0.7865961199294533,0.6902847207128885,0.693121693121693,"[[44, 10], [9, 12]]",0.773;0.795;0.932;0.773;0.800,0.659;0.641;0.830;0.641;0.583,0.659;0.693;0.830;0.693;0.600
stridor,mean-pool+RF,0.76,0.05915381267271795,0.5456034024455078,0.10475235532576473,0.575,0.09387216558210629,0.746031746031746,0.6196754563894523,0.611111111111111,"[[48, 6], [14, 7]]",0.773;0.841;0.705;0.682;0.800,0.583;0.641;0.444;0.659;0.400,0.580;0.693;0.443;0.659;0.500
stridor,max-pool+LogReg,0.7463636363636363,0.08726325706193787,0.5058974358974359,0.11713655724858045,0.5636363636363637,0.09276514378162978,0.7380952380952381,0.6027542372881356,0.5965608465608465,"[[49, 5], [15, 6]]",0.727;0.659;0.886;0.659;0.800,0.583;0.700;0.423;0.423;0.400,0.580;0.739;0.500;0.500;0.500
stridor,max-pool+RF,0.7503636363636363,0.1387983852050779,0.5726961926961927,0.1718170727797803,0.6272727272727272,0.1606096340368614,0.7328042328042328,0.6957403651115619,0.6772486772486772,"[[50, 4], [12, 9]]",0.795;0.795;0.864;0.477;0.820,0.423;0.830;0.722;0.489;0.400,0.500;0.830;0.818;0.489;0.500
stridor,mi-SVM,0.6145454545454545,0.15049230506672934,0.5502220517700394,0.10544573185560531,0.6072727272727273,0.10223130474283053,0.6216931216931217,0.5248538011695907,0.5264550264550264,"[[44, 10], [16, 5]]",0.523;0.614;0.750;0.386;0.800,0.423;0.603;0.661;0.423;0.641,0.500;0.614;0.773;0.500;0.650
stridor,GatedAttention,0.7161818181818183,0.14733264774281732,0.6581842649954106,0.0701982796233307,0.7018181818181819,0.10117491604327446,0.6763668430335097,0.6783876500857633,0.6838624338624338,"[[43, 11], [9, 12]]",0.818;0.841;0.750;0.432;0.740,0.785;0.661;0.603;0.659;0.583,0.864;0.773;0.614;0.659;0.600
stridor,DSMIL,0.6854545454545453,0.15161390721007137,0.5895445134575569,0.08825924499811072,0.61,0.09680430971896493,0.6684303350970018,0.5568181818181819,0.5555555555555556,"[[42, 12], [14, 7]]",0.773;0.886;0.636;0.432;0.700,0.762;0.583;0.534;0.534;0.534,0.784;0.648;0.534;0.534;0.550
stridor,SetTransformer,0.5007272727272727,0.17543937758271821,0.4184615384615385,0.00923076923076922,0.5,0.0,0.4858906525573192,0.46754563894523327,0.47883597883597884,"[[44, 10], [18, 3]]",0.364;0.409;0.773;0.318;0.640,0.423;0.423;0.423;0.423;0.400,0.500;0.500;0.500;0.500;0.500
stridor,TransMIL,0.6859999999999999,0.11446837233254784,0.6147234073116425,0.06539757640177077,0.6372727272727273,0.09421928001886196,0.6155202821869488,0.5614035087719298,0.5595238095238095,"[[45, 9], [15, 6]]",0.750;0.818;0.705;0.477;0.680,0.583;0.722;0.603;0.640;0.525,0.580;0.818;0.614;0.625;0.550
